frame,shoulder_x,shoulder_y,shoulder_conf,elbow_x,elbow_y,elbow_conf,wrist_x,wrist_y,wrist_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
29,0.6800105,0.32221252,0.6892118,0.66873085,0.36195695,0.30059096,0.5305212,0.42452642,0.31314436,0.5390041,0.49730647,0.41051856,0.38751504,0.6203426,0.27286613,0.17447922,0.71205604,0.5756907
30,0.6846347,0.32232666,0.63844365,0.66852415,0.35738105,0.3009644,0.5427737,0.41478616,0.38115236,0.57441854,0.5004057,0.28179795,0.589251,0.6675753,0.13532531,0.17800859,0.7136847,0.5177683
31,0.69349897,0.3195759,0.536804,0.67486304,0.34408793,0.33821458,0.6882918,0.36159644,0.09570443,0.55662906,0.48683557,0.32214457,0.53596205,0.5144838,0.080870114,0.17498711,0.71674216,0.3935879
32,0.677732,0.33165336,0.62136406,0.5662993,0.42006737,0.42509693,0.5349834,0.43157756,0.36875346,0.586303,0.5165372,0.39066166,0.5836155,0.6699861,0.15557134,0.18073335,0.7143713,0.43776986
33,0.69338083,0.33516818,0.47264063,0.66464555,0.3592745,0.2695423,0.54059917,0.43239528,0.2917546,0.5781068,0.50528455,0.30272517,0.41515827,0.6241569,0.25086764,0.71379966,0.79497045,0.30510736
34,0.6979228,0.3510612,0.4215107,0.6807283,0.3741675,0.1747967,0.677071,0.42803317,0.07292518,0.52306396,0.48838016,0.45236042,0.38530934,0.6245776,0.2569714,0.1835386,0.7126133,0.5065055
35,0.70953155,0.36438236,0.3660805,0.68004197,0.3560251,0.25572526,0.72621346,0.37248695,0.16278002,0.5037632,0.48893818,0.40038782,0.6586734,0.35916013,0.3765041,0.18373625,0.71420306,0.45159662
36,0.7079286,0.3794676,0.40294397,0.67820835,0.3700461,0.36147097,0.6857834,0.59712267,0.05675781,0.50105023,0.49211693,0.42997742,0.6580984,0.3687745,0.361835,0.18550204,0.7147426,0.41959107
37,0.7160939,0.3806561,0.49475425,0.67792434,0.38264728,0.38670433,0.69696015,0.59466606,0.045807667,0.51369214,0.5014392,0.2881738,0.6611351,0.38485008,0.36398736,0.1855778,0.715839,0.39950275
38,0.71702206,0.39806926,0.2115182,0.6791784,0.38447237,0.27907088,0.69592565,0.3932576,0.14530744,0.53712076,0.5402791,0.21124408,0.664779,0.38396674,0.40582374,0.5037459,0.64507294,0.06813304
39,0.71338713,0.401604,0.3488652,0.6761997,0.38582093,0.28403914,0.67941713,0.41608435,0.14683245,0.5128107,0.5200797,0.25468177,0.4736398,0.5114121,0.077214904,0.41710576,0.67126036,0.054935355
40,0.7045076,0.4015395,0.3962471,0.67692083,0.39748988,0.31611207,0.72133267,0.42016178,0.19138236,0.5320676,0.4920621,0.33369413,0.5318504,0.48145807,0.14779247,0.7160615,0.79200524,0.31348044
41,0.70700926,0.4027081,0.3989934,0.6903362,0.39686882,0.3112321,0.70991683,0.4454559,0.15504798,0.54828274,0.50065047,0.19226678,0.5351604,0.5092654,0.10206442,0.7151867,0.7938688,0.43269017
42,0.7631654,0.4368709,0.3070569,0.68364286,0.41484904,0.32888296,0.7954206,0.48881206,0.09204254,0.55258524,0.5032388,0.27239186,0.6541434,0.62496334,0.29686683,0.7167601,0.7971945,0.6034609
43,0.70930547,0.4290535,0.64228445,0.66503954,0.60677105,0.31981766,0.6293974,0.6387993,0.21014687,0.4973029,0.49947032,0.44672075,0.4720078,0.6348847,0.05111147,0.18183494,0.7154534,0.49053237
44,0.7106489,0.43462586,0.5086844,0.6600446,0.6030984,0.26317656,0.62020016,0.63685274,0.2941543,0.4773123,0.49736392,0.49818343,0.65571064,0.43825668,0.24843575,0.18192637,0.7152762,0.48452693
45,0.71209884,0.44255507,0.5179035,0.66824126,0.5704156,0.13830557,0.63044286,0.64064,0.19936618,0.49331853,0.52500683,0.32824856,0.37187403,0.6588239,0.13343148,0.18415193,0.71530247,0.44282585
