frame,shoulder_x,shoulder_y,shoulder_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
43,0.46357653,0.2512806,0.7226772,0.4811539,0.48516178,0.7147367,0.42372423,0.7019994,0.670047,0.4598183,0.8874515,0.46293148
44,0.4633575,0.25132987,0.72027916,0.48123318,0.48556206,0.71345025,0.42387646,0.7021196,0.6729244,0.45970353,0.8877484,0.45745295
45,0.46603167,0.2587967,0.7684128,0.48879465,0.4980646,0.7279454,0.42014325,0.7038182,0.6705258,0.46041256,0.88548845,0.4814128
46,0.46619493,0.26332974,0.793054,0.49041757,0.50461495,0.7557987,0.42039138,0.71047777,0.6839293,0.45871574,0.89095986,0.5719553
47,0.4674018,0.26899785,0.7448605,0.4903072,0.50648457,0.7787327,0.41928244,0.70958304,0.69717544,0.45815143,0.89026046,0.61211973
48,0.46813977,0.28043902,0.7910933,0.4912327,0.5131018,0.69215137,0.41987365,0.71152306,0.6879709,0.45864385,0.8919668,0.60767496
49,0.46489224,0.2872507,0.68482983,0.4942753,0.51911056,0.6991711,0.41492182,0.7105767,0.57829267,0.45822412,0.8897416,0.64828396
50,0.46466884,0.28679818,0.67863643,0.4941216,0.51898026,0.6939268,0.41819954,0.7114317,0.64239395,0.458121,0.88963664,0.6510153
51,0.46578395,0.2962164,0.7773265,0.4934718,0.52489686,0.71653724,0.4142261,0.71477604,0.6589689,0.4580902,0.8907013,0.6663426
52,0.46568593,0.30658448,0.8365015,0.49600768,0.5312175,0.7984868,0.4143784,0.71830916,0.69493514,0.45822978,0.8923924,0.69630164
53,0.46393698,0.31964642,0.8286601,0.49806195,0.5381871,0.75722533,0.41282797,0.72244924,0.7620459,0.45849025,0.89153737,0.69772
54,0.4667303,0.33062324,0.8166457,0.50159657,0.5411671,0.8006428,0.41186887,0.72376287,0.76780367,0.45868394,0.8936192,0.69503546
55,0.46406004,0.33282882,0.73723876,0.4996025,0.5459657,0.7720628,0.41162956,0.72252285,0.7846578,0.45831177,0.895539,0.68618083
56,0.46641096,0.33414346,0.75022763,0.49979675,0.5460272,0.77490914,0.4116801,0.7226739,0.7830205,0.45821235,0.8950858,0.6882426
57,0.46014628,0.3424971,0.8197596,0.50193024,0.5623628,0.79972947,0.41107273,0.7270404,0.78000635,0.45785066,0.8990954,0.671437
58,0.46106768,0.34869906,0.8284353,0.5035453,0.57711697,0.8320944,0.40692973,0.73200285,0.5944406,0.45595098,0.9012386,0.6532242
59,0.45684594,0.35053524,0.75784767,0.50516295,0.58418036,0.79116625,0.4098214,0.73026437,0.7229992,0.45546556,0.9002999,0.66412187
60,0.45812747,0.3559531,0.7546983,0.50647974,0.5850842,0.7822497,0.4082304,0.73109233,0.68606555,0.4556037,0.8993122,0.65876853
61,0.4568966,0.36384687,0.7778438,0.50635785,0.5941296,0.8147106,0.40324247,0.73262155,0.6217906,0.45554507,0.8965477,0.6997517
62,0.45666248,0.36405084,0.77448577,0.50613165,0.59413636,0.8135654,0.4033953,0.7326766,0.6185155,0.45561677,0.8964531,0.700423
63,0.4538837,0.371924,0.69374555,0.50432444,0.60564536,0.781064,0.40579057,0.73407423,0.6971031,0.45569164,0.8963866,0.6845619
