frame,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf
21,0.5865652,0.54424936,0.38927814,0.58411837,0.71211624,0.4218037,0.5554628,0.8192959,0.36841708,0.7549781,0.8377663,0.35185418,0.47770998,0.5588404,0.21466203,0.51503897,0.7097296,0.3762485,0.38373026,0.7330706,0.4402275,0.36501107,0.8824978,0.53270334
22,0.5840781,0.5400758,0.41720584,0.5859487,0.7014808,0.4586752,0.5546549,0.8196415,0.3656953,0.752522,0.83732283,0.342928,0.46539408,0.5472189,0.3020682,0.5120636,0.7002274,0.4586293,0.38546675,0.7326812,0.44498178,0.36624712,0.88351667,0.5383172
23,0.54742247,0.5422449,0.40201393,0.58736694,0.703485,0.46134767,0.54967844,0.8340342,0.45270967,0.7541658,0.8316571,0.32218924,0.4777252,0.55838495,0.36017165,0.54264605,0.7114954,0.45166528,0.3729685,0.735984,0.47275868,0.36640364,0.8843632,0.7091413
24,0.5528369,0.5449849,0.47734344,0.59289753,0.6983403,0.55981034,0.55806494,0.8402294,0.54792583,0.74459195,0.8323184,0.42527884,0.43470562,0.5772022,0.3548772,0.52427906,0.71267104,0.43236798,0.36012492,0.7387897,0.40857202,0.37258634,0.8868545,0.6376034
25,0.5302725,0.5430569,0.44535184,0.58605695,0.7118548,0.50497144,0.5539261,0.8471348,0.6277762,0.73553133,0.83671474,0.39807224,0.43205023,0.5523881,0.5519136,0.5250283,0.71427834,0.4261623,0.3560819,0.7385881,0.41398233,0.37588948,0.8820201,0.66572756
26,0.5487506,0.53229606,0.44083813,0.5896709,0.72054565,0.6269593,0.5505889,0.8595003,0.5914758,0.73496604,0.83697486,0.44445413,0.4159094,0.564777,0.51350665,0.51335305,0.7224037,0.53586483,0.349006,0.7467102,0.42907503,0.37668666,0.8829002,0.63586134
27,0.5405439,0.5631957,0.55085224,0.58216596,0.73434633,0.54958045,0.35810623,0.7471258,0.31762025,0.38490722,0.88882846,0.47665027,0.46885487,0.55435055,0.61659515,0.5450623,0.7321479,0.43340817,0.5340215,0.85636604,0.26328838,0.73736495,0.8347573,0.3596481
28,0.5393615,0.5616559,0.547649,0.5812664,0.7327193,0.5571697,0.5413126,0.85942507,0.41366178,0.38571334,0.8896141,0.44424105,0.4672415,0.55443645,0.6118508,0.54270446,0.7307815,0.44498602,0.34495077,0.74538803,0.36365396,0.37336513,0.886712,0.5182791
29,0.5211736,0.56450063,0.49808586,0.56769973,0.7323441,0.47559673,0.5547511,0.8657085,0.67850953,0.7385925,0.83109486,0.5134985,0.45794797,0.5547271,0.4590415,0.52216023,0.7294106,0.43034932,0.3410748,0.7494234,0.5303334,0.38142836,0.88607025,0.575631
30,0.5240975,0.56976783,0.4335492,0.5778192,0.74943274,0.5556731,0.55706173,0.86676526,0.66079557,0.7370309,0.8305549,0.45460737,0.48255822,0.55915594,0.48658493,0.5278059,0.74089634,0.49889305,0.34220493,0.7510066,0.61381817,0.37601733,0.88933843,0.5145833
31,0.5335256,0.5842632,0.34192178,0.5802257,0.7547611,0.45679843,0.35407126,0.7495209,0.31356484,0.38552666,0.890643,0.43189555,0.52321213,0.5758213,0.3972978,0.5671867,0.75390327,0.38871613,0.53480136,0.8650887,0.23266143,0.38888872,0.88933635,0.38844872
32,0.53161615,0.5900769,0.34228843,0.5836788,0.75630915,0.54755443,0.53905773,0.872848,0.27280414,0.3879603,0.88950723,0.4903238,0.53521454,0.5840833,0.37358317,0.56740737,0.75428593,0.47380894,0.3563548,0.7503933,0.31617895,0.38970459,0.88673466,0.47998667
33,0.4963108,0.5854775,0.41091228,0.57982403,0.76078975,0.5239021,0.3521332,0.74960876,0.33473244,0.38619158,0.8887955,0.49089232,0.52193177,0.5838245,0.354817,0.57348055,0.7586598,0.37035996,0.5492406,0.8725537,0.22738838,0.38962314,0.8872163,0.3930493
34,0.49557993,0.58616966,0.4084414,0.5787263,0.76144576,0.5190202,0.35115534,0.7485683,0.3511685,0.38584143,0.8892052,0.51740974,0.53528744,0.5837175,0.33263862,0.5857395,0.759994,0.45908114,0.55247205,0.87214386,0.28697252,0.39080307,0.8879039,0.35187405
35,0.513525,0.5881059,0.40024304,0.58688194,0.764826,0.5283225,0.5588299,0.87607574,0.35678396,0.7351345,0.83123106,0.41081002,0.49648917,0.5848036,0.43493557,0.5511236,0.7623613,0.46145645,0.34148914,0.75006115,0.44047168,0.38681442,0.88506615,0.50333625
36,0.5255598,0.5987961,0.5037316,0.5879061,0.7651119,0.5272651,0.56486917,0.8797917,0.4717207,0.73571527,0.83058304,0.4467788,0.49160394,0.5966091,0.4003378,0.5437082,0.76109827,0.51711076,0.340857,0.7525892,0.5480785,0.38579723,0.88743246,0.41429648
37,0.5345735,0.6017741,0.37626368,0.5885043,0.7681966,0.51096386,0.5600554,0.8807517,0.41209695,0.7338339,0.8312129,0.4198161,0.51011384,0.60306644,0.4227113,0.54676205,0.7642404,0.5048998,0.34114802,0.75316286,0.51589847,0.38631105,0.88809156,0.37189725
