frame,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf
14,0.44714546,0.34906325,0.6639752,0.3761636,0.41029653,0.2975938,0.36831403,0.42360064,0.2943059,0.44899297,0.4987176,0.56234515,0.45017862,0.62551594,0.6348527,0.45235753,0.7584336,0.6211094,0.52245766,0.35109216,0.45552826,0.5880703,0.41870126,0.20170312,0.6220727,0.42415342,0.24236299,0.50602055,0.50317514,0.57505494,0.5009643,0.62997025,0.56953716,0.49929392,0.7622266,0.6332623
15,0.44258296,0.34270543,0.7073825,0.37889406,0.3892702,0.3749497,0.3422756,0.41722614,0.27810213,0.44777173,0.50322336,0.6664225,0.44627506,0.6365062,0.6267366,0.4475585,0.7615439,0.6208891,0.5267899,0.3396426,0.6414729,0.56454,0.39667925,0.18734223,0.5668136,0.39649296,0.18004039,0.50352883,0.5056206,0.65362704,0.49926394,0.63708496,0.6203088,0.5006188,0.76331127,0.57618517
16,0.44383132,0.34386465,0.7202857,0.380918,0.39139104,0.41066453,0.34207568,0.41534516,0.2992133,0.4502233,0.50462484,0.6858931,0.44999477,0.6374459,0.68605953,0.44768256,0.7619552,0.63924134,0.5277695,0.33988044,0.6500314,0.57459366,0.39977616,0.13730568,0.58390915,0.40208322,0.17057142,0.50483423,0.5062916,0.6706986,0.501053,0.6372439,0.65336806,0.503496,0.7636347,0.5980738
17,0.46768245,0.33362114,0.5395786,0.38386214,0.38558418,0.30774117,0.3499521,0.4043164,0.19360085,0.47725242,0.50821006,0.51636416,0.4536228,0.5973587,0.27290508,0.45377415,0.75006914,0.3760885,0.4962936,0.32919043,0.53082436,0.48063165,0.36674464,0.11853861,0.4950173,0.3505355,0.073215745,0.5016823,0.5063021,0.4653388,0.50859594,0.5973052,0.40940297,0.5229292,0.7245977,0.36856332
18,0.47293943,0.33847222,0.53744364,0.3842578,0.37541375,0.21940364,0.30925423,0.38171145,0.32258582,0.46652934,0.50528693,0.5705512,0.44364986,0.6249428,0.42389798,0.4298904,0.76572883,0.5984113,0.49543306,0.33515805,0.5230175,0.62925,0.34246248,0.40739137,0.6410761,0.33799213,0.44435468,0.4997309,0.50675374,0.5566393,0.5144973,0.6373713,0.5006796,0.53325045,0.7687906,0.63230044
19,0.5148251,0.33101782,0.5347442,0.6285149,0.33754665,0.37961853,0.64227945,0.32127362,0.44125485,0.51148736,0.5068947,0.5543515,0.51560044,0.6436732,0.5560714,0.53945374,0.77001846,0.50446415,0.4424287,0.34098122,0.7293956,0.37431198,0.3678491,0.21235439,0.30075204,0.32688576,0.37883118,0.45858133,0.5081585,0.5697987,0.4397299,0.6373048,0.48901036,0.4223153,0.76050127,0.5144552
20,0.51601315,0.33501586,0.60197157,0.6068744,0.32347023,0.54589677,0.631786,0.29927948,0.5800828,0.51741177,0.50720745,0.62831426,0.5259205,0.6436378,0.7377493,0.5491055,0.7691607,0.6368344,0.43961546,0.3470983,0.5373907,0.37090808,0.35136515,0.36820874,0.3019718,0.32064685,0.44275716,0.4585099,0.50799996,0.6281771,0.43453333,0.6371045,0.5828883,0.41964075,0.7505716,0.66126865
21,0.52223366,0.33308193,0.68213123,0.6100743,0.31335998,0.54133576,0.6286253,0.29131657,0.7652091,0.52118284,0.5153332,0.693533,0.533533,0.6474902,0.75270367,0.5516368,0.7619014,0.7599005,0.43684435,0.34769535,0.63048965,0.37723324,0.345249,0.3479058,0.29739574,0.29622072,0.41004446,0.46165907,0.5145725,0.75765854,0.4372548,0.63576937,0.6899273,0.4191553,0.7467965,0.7213918
22,0.5228242,0.33338016,0.6994714,0.60973907,0.31480014,0.5333402,0.6293205,0.29068595,0.7788146,0.5201577,0.51624227,0.65150565,0.53391,0.6477292,0.7484105,0.551741,0.76275915,0.76142603,0.43551213,0.3461256,0.6102108,0.37395966,0.34187478,0.35637325,0.29274648,0.28830418,0.56493896,0.4601183,0.5155424,0.74507844,0.43671203,0.6355595,0.68260646,0.41898876,0.74685323,0.72096056
23,0.5172419,0.3405894,0.67443955,0.60528886,0.30318022,0.67521894,0.62169135,0.26063326,0.47921878,0.51816523,0.5221213,0.7096496,0.53573895,0.6495823,0.7507696,0.5581118,0.76288056,0.6426311,0.4345988,0.35145265,0.67299914,0.3748226,0.33335525,0.40822867,0.3031336,0.27841356,0.54836625,0.46004507,0.5216774,0.6935991,0.43123168,0.63788635,0.62558275,0.4198609,0.74709934,0.6917442
