frame,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf
21,0.695935,0.4775599,0.45445204,0.69570506,0.62574905,0.53422886,0.6000368,0.7333399,0.46389824,0.50726104,0.8667035,0.4416493,0.71465826,0.47125456,0.47220647,0.72519106,0.62469923,0.46123335,0.72359675,0.74140644,0.48307416,0.7899177,0.8551376,0.41005018
22,0.68933654,0.48403645,0.40820253,0.68231475,0.6325205,0.5579736,0.5748565,0.74203104,0.511245,0.47253224,0.86185455,0.5617649,0.7064578,0.4814241,0.38292426,0.71726656,0.6302794,0.5067673,0.7069711,0.75024146,0.40111786,0.7885394,0.8528005,0.436547
23,0.6743212,0.48687515,0.47541597,0.6657802,0.63922787,0.5874013,0.56859875,0.74415076,0.49646226,0.45082128,0.86256313,0.60972416,0.72549933,0.4949109,0.5111613,0.710763,0.6345024,0.5935828,0.7033254,0.7560359,0.39644662,0.7933223,0.84809065,0.36859098
24,0.6800701,0.48836416,0.4689233,0.6661516,0.63505566,0.53744125,0.5499706,0.7408589,0.4747373,0.43257302,0.86617744,0.5387102,0.7190118,0.48840827,0.33129257,0.7027271,0.63299143,0.527374,0.6866769,0.75237,0.39740434,0.79233974,0.8501489,0.30293858
25,0.66732305,0.49722677,0.4529613,0.6576077,0.6343264,0.5371233,0.539622,0.7311203,0.44532102,0.4256012,0.8725532,0.54171675,0.71553564,0.48955852,0.41006628,0.70025074,0.63316363,0.49768412,0.6795744,0.76041317,0.42187038,0.79604614,0.8513784,0.38646126
26,0.64728045,0.49956045,0.4808797,0.6459801,0.6375865,0.50176764,0.5232276,0.73307025,0.4325352,0.40885898,0.8782274,0.65857,0.6811463,0.48732698,0.5374595,0.681579,0.63207126,0.4733006,0.6481084,0.75994223,0.38750616,0.7829027,0.838562,0.42372322
27,0.64781916,0.49939832,0.4874582,0.64566416,0.63426936,0.42953518,0.52361107,0.73327446,0.42726114,0.4087132,0.8783406,0.66111636,0.6806296,0.4872598,0.53503495,0.681246,0.632007,0.47631428,0.648478,0.76111007,0.3878902,0.78312457,0.83868426,0.4270298
28,0.62943053,0.49636707,0.42502543,0.6305356,0.64784217,0.4736719,0.5039978,0.7382683,0.37127712,0.3951692,0.8824327,0.628289,0.6699569,0.49511218,0.48324528,0.6693404,0.6463027,0.437016,0.6289525,0.7811236,0.3634704,0.7841282,0.83540815,0.4083305
29,0.6328657,0.5120095,0.39243177,0.63052344,0.65814054,0.45968288,0.46931297,0.74198,0.5745051,0.3818072,0.88625973,0.64458203,0.6352114,0.50275373,0.47953,0.639681,0.6577455,0.41842863,0.6032241,0.78492135,0.31054896,0.76654875,0.8328897,0.25339168
30,0.60259426,0.5133548,0.46612564,0.6128942,0.670954,0.480282,0.443987,0.74441266,0.5524257,0.3769853,0.88972944,0.5890094,0.6364751,0.5136469,0.52982974,0.6473559,0.6702287,0.42628804,0.5836437,0.80065763,0.31773907,0.7526755,0.83559906,0.32564703
31,0.5792384,0.5195219,0.43959957,0.59872663,0.6805202,0.31906286,0.41605544,0.7452058,0.416932,0.3677735,0.89092886,0.60396713,0.59968585,0.51602125,0.47243196,0.6305603,0.68294,0.48608002,0.5715351,0.80465335,0.40185827,0.7424833,0.8302569,0.26841578
32,0.5549209,0.53315747,0.41453534,0.5915439,0.69404554,0.41894346,0.38838944,0.74297667,0.4085181,0.3710857,0.89406586,0.37921983,0.5967654,0.5319723,0.48134664,0.6325077,0.6978941,0.4648477,0.56339824,0.82085645,0.36108506,0.73277086,0.8311149,0.23956329
33,0.5549469,0.5326243,0.41540858,0.5916372,0.6941528,0.41842863,0.38814998,0.74311185,0.40944892,0.37136158,0.8939027,0.37646574,0.59669906,0.5316767,0.48115447,0.6321814,0.69799346,0.46311593,0.5633942,0.8210918,0.36069822,0.73293304,0.8314495,0.23768272
34,0.5570365,0.54781306,0.38091952,0.5887699,0.7084548,0.41274878,0.37263548,0.7426381,0.44906023,0.36967632,0.8983275,0.5021727,0.58761895,0.54164904,0.41798955,0.6083794,0.7112021,0.3268571,0.5690791,0.8338884,0.2757812,0.73510563,0.83269095,0.28319976
35,0.54070604,0.55518425,0.44112307,0.5736508,0.71860456,0.4014104,0.3604996,0.75195926,0.465326,0.37616682,0.89598936,0.402587,0.5746642,0.5505435,0.42186403,0.61533135,0.718869,0.37225655,0.56075245,0.8457664,0.27019644,0.7264371,0.83699894,0.22574915
36,0.53215766,0.56779426,0.41291833,0.56570554,0.726313,0.31765652,0.35642773,0.7530794,0.42879644,0.37923405,0.89569736,0.4105927,0.5874052,0.56137884,0.3817587,0.6183711,0.72542894,0.47051647,0.5650489,0.8496939,0.37321797,0.7284957,0.84095234,0.26072186
37,0.5121958,0.567169,0.42489338,0.5560655,0.7337017,0.4062347,0.3585415,0.7532667,0.47654977,0.3834455,0.89747685,0.40689623,0.58196545,0.5643983,0.34389997,0.61747944,0.7344909,0.41390207,0.5492619,0.8628876,0.4469006,0.7276122,0.84104675,0.24502285
38,0.5172785,0.58578706,0.42758214,0.5635613,0.7423421,0.2641068,0.35475206,0.75308216,0.42436653,0.38175648,0.895183,0.3869153,0.5716923,0.5755363,0.47820017,0.60807896,0.73825336,0.3849647,0.54370403,0.8658752,0.5118063,0.7298933,0.83719766,0.22002952
39,0.518028,0.5860463,0.43376473,0.5634551,0.742664,0.26646778,0.35454118,0.75300115,0.4249592,0.3819387,0.8945691,0.37971348,0.5721656,0.5760752,0.47723684,0.6080737,0.738666,0.3866686,0.5434327,0.8578558,0.43741664,0.7290093,0.8373821,0.21861373
40,0.51958424,0.5847007,0.48976466,0.5403236,0.75372565,0.3716761,0.34786338,0.7513396,0.40920565,0.3772988,0.8956114,0.49206758,0.58226466,0.5872821,0.43531913,0.6042997,0.7538931,0.35878554,0.54632914,0.8673102,0.5236991,0.7254621,0.8425834,0.21565746
