frame,shoulder_x,shoulder_y,shoulder_z,shoulder_vis,elbow_x,elbow_y,elbow_z,elbow_vis,wrist_x,wrist_y,wrist_z,wrist_vis,hip_x,hip_y,hip_z,hip_vis,knee_x,knee_y,knee_z,knee_vis,ankle_x,ankle_y,ankle_z,ankle_vis
0,0.6956737637519836,0.39956992864608765,-0.22813285887241364,0.9999102354049683,0.6942561864852905,0.6249926686286926,-0.27733680605888367,0.987270712852478,0.7022902369499207,0.8216521739959717,-0.2496265023946762,0.9866529107093811,0.47933149337768555,0.5086488127708435,-0.12271509319543839,0.9976044297218323,0.3267945945262909,0.6348479390144348,-0.08874478191137314,0.9745347499847412,0.16827961802482605,0.7044006586074829,-0.041212048381567,0.9866403937339783
1,0.6958526968955994,0.3983929455280304,-0.22023506462574005,0.9999080896377563,0.6942921280860901,0.62180095911026,-0.26341161131858826,0.9876328706741333,0.7001016736030579,0.8186122179031372,-0.22316603362560272,0.9862846732139587,0.4794835150241852,0.5105981826782227,-0.11544136703014374,0.9975425601005554,0.32748717069625854,0.634970486164093,-0.07088098675012589,0.9731213450431824,0.16813679039478302,0.7035048604011536,-0.008301344700157642,0.9855026006698608
2,0.6960647106170654,0.3983232378959656,-0.2176576554775238,0.9999049305915833,0.6944704651832581,0.6211182475090027,-0.2599852681159973,0.9879648685455322,0.6994415521621704,0.8175891041755676,-0.219692662358284,0.9860915541648865,0.48001644015312195,0.5128153562545776,-0.11318595707416534,0.9974181652069092,0.32877013087272644,0.6352242231369019,-0.07019160687923431,0.9713118076324463,0.1680147349834442,0.7028821110725403,-0.008048022165894508,0.9841590523719788
3,0.6965253949165344,0.39891111850738525,-0.2136334776878357,0.9999030232429504,0.6948028802871704,0.6210889220237732,-0.25537732243537903,0.988243043422699,0.6992210745811462,0.8172250390052795,-0.21665848791599274,0.9858350157737732,0.48066475987434387,0.514326274394989,-0.11057290434837341,0.9973492622375488,0.3296038508415222,0.63593989610672,-0.06522681564092636,0.9695703387260437,0.16756850481033325,0.7025839686393738,-0.0008319076150655746,0.9828287959098816
4,0.6977307796478271,0.39933210611343384,-0.2126980423927307,0.9999004006385803,0.6957358121871948,0.6209776997566223,-0.2519722580909729,0.988386869430542,0.6994041800498962,0.8164984583854675,-0.21026653051376343,0.9854327440261841,0.48135337233543396,0.5150296092033386,-0.11035574972629547,0.997245728969574,0.3304048180580139,0.6367475986480713,-0.06748844683170319,0.9670660495758057,0.16737094521522522,0.702048122882843,-0.006824933458119631,0.9808794856071472
5,0.698177695274353,0.39961180090904236,-0.21177677810192108,0.9998980164527893,0.6960334181785583,0.6209991574287415,-0.24921919405460358,0.9886443018913269,0.6995252370834351,0.8161344528198242,-0.20584304630756378,0.9852735996246338,0.4815886914730072,0.516361653804779,-0.10959277302026749,0.9971899390220642,0.3305438458919525,0.637076735496521,-0.06421618163585663,0.9652687907218933,0.16734877228736877,0.7018544673919678,-0.00199479260481894,0.9794179797172546
6,0.6985529065132141,0.4007442891597748,-0.21209774911403656,0.999893069267273,0.6960766315460205,0.6223282217979431,-0.24796192348003387,0.9888486266136169,0.7000309228897095,0.8161267042160034,-0.19944213330745697,0.9850406646728516,0.4823235273361206,0.5191536545753479,-0.10912386327981949,0.9970601797103882,0.33095940947532654,0.6370696425437927,-0.06313146650791168,0.9630811810493469,0.16758129000663757,0.7016497850418091,-0.0009233264718204737,0.9775072932243347
7,0.6988641023635864,0.4008958041667938,-0.21251218020915985,0.9998884797096252,0.6962984800338745,0.6229684352874756,-0.24824222922325134,0.9890441298484802,0.701102077960968,0.8161740899085999,-0.1990097165107727,0.9848638772964478,0.48290279507637024,0.519300103187561,-0.10902109742164612,0.9969339966773987,0.3317639231681824,0.6370559930801392,-0.06359840929508209,0.9608365893363953,0.16863690316677094,0.7015342116355896,-0.0019161913078278303,0.9755239486694336
8,0.6998502612113953,0.4009338617324829,-0.21184256672859192,0.9998838305473328,0.6969427466392517,0.6231650114059448,-0.24673300981521606,0.9892269372940063,0.702136754989624,0.8161906003952026,-0.19747553765773773,0.9845733046531677,0.4833625257015228,0.5194807648658752,-0.10779022425413132,0.9968384504318237,0.33244845271110535,0.6370437741279602,-0.061516113579273224,0.959420919418335,0.16988709568977356,0.7012567520141602,0.0005058040260337293,0.9741994738578796
9,0.7010101675987244,0.40120458602905273,-0.21108245849609375,0.9998780488967896,0.6973353028297424,0.623858630657196,-0.24494929611682892,0.9893671274185181,0.7028706073760986,0.8162097334861755,-0.1960584819316864,0.9843423366546631,0.4839549660682678,0.5199726223945618,-0.1067710593342781,0.9967678189277649,0.33306968212127686,0.6370462775230408,-0.05939476564526558,0.9578593969345093,0.1715894639492035,0.7011481523513794,0.0032231099903583527,0.9728918671607971
10,0.7013538479804993,0.4014313519001007,-0.21130794286727905,0.9998718500137329,0.697856605052948,0.6242298483848572,-0.24634094536304474,0.989445686340332,0.7033200860023499,0.815984845161438,-0.19870291650295258,0.9841887354850769,0.4844243824481964,0.5201025605201721,-0.10695333778858185,0.9966885447502136,0.33368998765945435,0.6370395421981812,-0.0603286474943161,0.9560339450836182,0.17272144556045532,0.7008202075958252,0.0022236229851841927,0.9715895056724548
