frame,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_shoulder_vis,l_hip_x,l_hip_y,l_hip_z,l_hip_vis,l_knee_x,l_knee_y,l_knee_z,l_knee_vis,l_ankle_x,l_ankle_y,l_ankle_z,l_ankle_vis,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_shoulder_vis,r_hip_x,r_hip_y,r_hip_z,r_hip_vis,r_knee_x,r_knee_y,r_knee_z,r_knee_vis,r_ankle_x,r_ankle_y,r_ankle_z,r_ankle_vis
0,0.7246202230453491,0.4674142301082611,-0.5462116003036499,0.9999872446060181,0.7326089143753052,0.629351019859314,-0.1881595104932785,0.9983585476875305,0.7087208032608032,0.745506763458252,-0.10612089931964874,0.9450836777687073,0.7759150266647339,0.8610793352127075,0.0650109201669693,0.9667388796806335,0.6888691782951355,0.4713329076766968,0.057815976440906525,0.9970218539237976,0.7054136395454407,0.6286770701408386,0.18793244659900665,0.9950228929519653,0.7044348120689392,0.7372534871101379,0.240249902009964,0.3466070890426636,0.7612534761428833,0.8460633158683777,0.4624968469142914,0.42439913749694824
1,0.7244848012924194,0.46866530179977417,-0.546127200126648,0.9999867081642151,0.721272885799408,0.6302012205123901,-0.1889902651309967,0.9984077215194702,0.6993351578712463,0.7461585998535156,-0.09317127615213394,0.9460773468017578,0.7725710272789001,0.8603883385658264,0.09841649234294891,0.9680421352386475,0.6828854084014893,0.47144097089767456,0.059068936854600906,0.9972299933433533,0.6915953159332275,0.6304805874824524,0.1887260526418686,0.9952692985534668,0.6937397122383118,0.7386565804481506,0.2694226801395416,0.3589670956134796,0.7605233192443848,0.845949113368988,0.5141839981079102,0.4438678026199341
2,0.720593273639679,0.46953901648521423,-0.5104162096977234,0.9999857544898987,0.7116423845291138,0.6287933588027954,-0.18312907218933105,0.998485803604126,0.664635956287384,0.7427133917808533,-0.1442980319261551,0.9486244916915894,0.7532992362976074,0.8576477766036987,-0.021014505997300148,0.9697445034980774,0.6799283623695374,0.4713091254234314,0.0622970387339592,0.997419536113739,0.689109206199646,0.6286739110946655,0.1828792691230774,0.9955657124519348,0.6963635683059692,0.7384223937988281,0.2430197149515152,0.37396565079689026,0.7602585554122925,0.846589207649231,0.37127238512039185,0.46888625621795654
3,0.7179328203201294,0.47025173902511597,-0.49823373556137085,0.9999852776527405,0.7075921297073364,0.6285186409950256,-0.1823161542415619,0.9985706210136414,0.6530195474624634,0.7414904832839966,-0.16256794333457947,0.9506019353866577,0.7502965331077576,0.8566590547561646,-0.04181762784719467,0.9712996482849121,0.6800430417060852,0.4712725579738617,0.07427753508090973,0.9976047873497009,0.688667356967926,0.6280964016914368,0.18206709623336792,0.9958593249320984,0.6980528235435486,0.7377244234085083,0.2276308536529541,0.38525113463401794,0.7613098621368408,0.84754878282547,0.35132482647895813,0.48970693349838257
4,0.7173020243644714,0.470485657453537,-0.4547343850135803,0.9999864101409912,0.7105249166488647,0.628071129322052,-0.18428270518779755,0.9986830949783325,0.6423799395561218,0.7393102049827576,-0.15783487260341644,0.9549703001976013,0.7164288759231567,0.8567237854003906,-0.03000575676560402,0.973440945148468,0.6760693192481995,0.47133752703666687,0.16424675285816193,0.9978373646736145,0.6958825588226318,0.6276363730430603,0.1841222047805786,0.9962282180786133,0.7068896889686584,0.7377089262008667,0.24751828610897064,0.4212634563446045,0.761728823184967,0.8494691252708435,0.3799639046192169,0.5296720266342163
5,0.717520534992218,0.470602422952652,-0.46937716007232666,0.9999875426292419,0.7120419144630432,0.627891480922699,-0.19492417573928833,0.9987849593162537,0.6336766481399536,0.7387980222702026,-0.15744571387767792,0.9568414688110352,0.6566804647445679,0.8642629384994507,-0.03170885145664215,0.9751402735710144,0.6722790002822876,0.47137799859046936,0.19988228380680084,0.998046875,0.6964835524559021,0.6275942921638489,0.19475822150707245,0.9965554475784302,0.706899881362915,0.7378957271575928,0.2620134651660919,0.4403494894504547,0.7694646716117859,0.8494285941123962,0.3892258405685425,0.5624213218688965
6,0.7176069021224976,0.47083190083503723,-0.4751814007759094,0.9999883770942688,0.7132362127304077,0.6264312267303467,-0.20059293508529663,0.9988747835159302,0.6165564656257629,0.7387256622314453,-0.20322097837924957,0.9587547183036804,0.5951175689697266,0.8672817349433899,-0.12722784280776978,0.9764034748077393,0.6616714000701904,0.46996158361434937,0.22338491678237915,0.9982396960258484,0.6933664679527283,0.624941885471344,0.20049169659614563,0.9968631267547607,0.7105972766876221,0.7377315759658813,0.2676989734172821,0.44860967993736267,0.7787433862686157,0.849886953830719,0.38385602831840515,0.5919982194900513
7,0.7176026701927185,0.47283196449279785,-0.4503234922885895,0.9999886751174927,0.7136086225509644,0.6276246309280396,-0.2002226710319519,0.9989492893218994,0.6131976842880249,0.7397007346153259,-0.24257156252861023,0.9514483213424683,0.5509852170944214,0.8678646087646484,-0.23172102868556976,0.9767256379127502,0.6558122634887695,0.4696429371833801,0.254170686006546,0.9984099864959717,0.688954770565033,0.6243385076522827,0.20016540586948395,0.9971204400062561,0.7156210541725159,0.7384421825408936,0.28265509009361267,0.4400949776172638,0.7838519811630249,0.8505207300186157,0.3850289583206177,0.6065883636474609
8,0.7162055373191833,0.4749836027622223,-0.4223766326904297,0.9999824166297913,0.7133343815803528,0.6299129128456116,-0.20133250951766968,0.9989926815032959,0.5995343923568726,0.7441946268081665,-0.27912259101867676,0.942864179611206,0.4996715486049652,0.8678807020187378,-0.3061763346195221,0.9773800373077393,0.6526196599006653,0.4703845679759979,0.2727842330932617,0.9985508918762207,0.6855700016021729,0.6269090175628662,0.20139960944652557,0.9973324537277222,0.7212093472480774,0.7441205978393555,0.3085288107395172,0.4258739650249481,0.7894229292869568,0.8520975708961487,0.39081043004989624,0.6224864721298218
9,0.7157303690910339,0.47552913427352905,-0.4042252004146576,0.9999769330024719,0.7132687568664551,0.630789577960968,-0.2011280655860901,0.9990366697311401,0.5977982878684998,0.7461140751838684,-0.28326940536499023,0.935339629650116,0.4965915083885193,0.868223249912262,-0.3147798478603363,0.978001594543457,0.6493455171585083,0.47148358821868896,0.28534194827079773,0.9986787438392639,0.6833857297897339,0.6279187798500061,0.2012171447277069,0.9975308775901794,0.722629189491272,0.7461399435997009,0.3017391264438629,0.41311103105545044,0.7909970879554749,0.8530524969100952,0.3922881484031677,0.6366091370582581
