frame,shoulder_x,shoulder_y,shoulder_conf,elbow_x,elbow_y,elbow_conf,wrist_x,wrist_y,wrist_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
29,0.6950239,0.36969995,0.86891776,0.70096016,0.5931456,0.66842705,0.71309507,0.78909516,0.67329174,0.49364418,0.50308365,0.6104853,0.34975278,0.6251322,0.6759598,0.1803997,0.70299476,0.730904
30,0.6971752,0.37166345,0.76917624,0.6982543,0.598621,0.66107005,0.71366614,0.7904496,0.6689241,0.49532562,0.4973731,0.77641195,0.34889227,0.63330925,0.7590901,0.18203738,0.7031884,0.72406304
31,0.696478,0.37604567,0.7992323,0.6928127,0.593114,0.62990993,0.70901096,0.7913958,0.7206697,0.4990569,0.50085795,0.7706923,0.3548127,0.63907164,0.7286853,0.18126723,0.70487046,0.6739148
32,0.6966459,0.38331947,0.8299,0.6927452,0.60398,0.6696364,0.71500075,0.7905942,0.64843905,0.50000614,0.50290954,0.7824394,0.35005826,0.6406933,0.73763734,0.18222213,0.7005496,0.73507315
33,0.69319147,0.3937517,0.812265,0.69032145,0.61288404,0.5663679,0.7117773,0.7986696,0.78015816,0.49843055,0.5044826,0.78208756,0.3467908,0.64370924,0.7282209,0.18154898,0.70680666,0.72757554
34,0.6933219,0.39625925,0.8450307,0.68613183,0.6113944,0.5449557,0.710097,0.7981566,0.7801777,0.4925531,0.5126645,0.6924687,0.3455593,0.64600825,0.7038541,0.17764221,0.7091942,0.6469251
35,0.688617,0.4013852,0.84546864,0.6841353,0.61014897,0.450542,0.7122114,0.7970654,0.7806598,0.49426374,0.5165856,0.7348269,0.34315023,0.6544523,0.71295327,0.17933695,0.70400655,0.6463137
36,0.6905614,0.40885472,0.88510877,0.67369497,0.61148703,0.6355141,0.70498204,0.79611397,0.82240546,0.49391395,0.51466304,0.7298203,0.34668165,0.6530248,0.76019377,0.17451482,0.70069474,0.65821403
37,0.69175786,0.41370028,0.83955836,0.6684972,0.61858094,0.6241176,0.7057526,0.80325663,0.842513,0.49451455,0.5180546,0.74784136,0.34577724,0.6569083,0.7533414,0.17338082,0.70267475,0.6782439
38,0.69461167,0.42388624,0.86397004,0.6651825,0.62839735,0.5140088,0.70484424,0.8030026,0.84461737,0.4941749,0.5225214,0.73073417,0.3443322,0.65573776,0.71534806,0.17357302,0.7055337,0.5941619
39,0.6986017,0.42754382,0.6713627,0.6596925,0.62562394,0.5644148,0.7065414,0.80248487,0.8160122,0.49370384,0.5235482,0.51186275,0.3371467,0.6566661,0.80159,0.1716744,0.7022468,0.5180185
40,0.69494927,0.43199855,0.622768,0.6573714,0.62812436,0.6514981,0.70790553,0.8033056,0.8271862,0.4935771,0.5268972,0.7250286,0.33694813,0.656819,0.81444806,0.17044601,0.6990315,0.56215364
