frame,shoulder_x,shoulder_y,shoulder_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
43,0.4657125,0.30698693,0.8181087,0.49761683,0.52959836,0.7897095,0.4192717,0.7171508,0.7606853,0.46126062,0.89709115,0.69215953
44,0.46312532,0.31236047,0.7201004,0.50063765,0.5361312,0.74854255,0.4186655,0.7192465,0.7538068,0.46077853,0.89890355,0.6076518
45,0.46338534,0.32630008,0.83978766,0.50399464,0.5370983,0.7574304,0.4190994,0.72291327,0.75499475,0.46086222,0.90131277,0.60515
46,0.45953232,0.3302096,0.78664476,0.50373375,0.5433869,0.79920214,0.4155599,0.72386354,0.73434675,0.4605775,0.9037747,0.69032645
47,0.45597386,0.33883154,0.7506859,0.501636,0.5532738,0.8181942,0.41080356,0.7247543,0.7628834,0.4608308,0.9061432,0.66373235
48,0.45538062,0.34359342,0.7686404,0.5011364,0.5669857,0.7902646,0.4103768,0.72548366,0.764129,0.46062243,0.9030117,0.6686752
49,0.45356315,0.34789938,0.73891747,0.50098264,0.5717253,0.8031053,0.4100514,0.7291868,0.72317916,0.4605515,0.90293646,0.663511
50,0.45472038,0.35741317,0.73115885,0.5043269,0.5849601,0.7947508,0.40909553,0.73158646,0.7134392,0.45999512,0.90147585,0.6838611
51,0.45060322,0.3627261,0.6981261,0.50522256,0.5925815,0.81113636,0.40913916,0.7321352,0.7086437,0.46021044,0.9005109,0.6910342
52,0.45155412,0.37157905,0.61918795,0.5075395,0.60199994,0.7585662,0.40918654,0.7333149,0.72072554,0.46032363,0.8988756,0.68245757
53,0.44773287,0.38326424,0.78500324,0.50704086,0.6140556,0.7982135,0.40831968,0.7340437,0.7130487,0.4595908,0.8958477,0.68686473
54,0.445262,0.3908369,0.73261464,0.50355303,0.6215423,0.82554185,0.408027,0.734595,0.7061885,0.4582876,0.89905494,0.60650283
55,0.44554853,0.39180392,0.52707845,0.50237405,0.62481046,0.75168765,0.4087275,0.7342471,0.7159762,0.45819914,0.89944124,0.5990584
56,0.4442584,0.39591986,0.7369225,0.5044681,0.62466097,0.8038376,0.40918338,0.734293,0.7234113,0.4597969,0.8976569,0.6628209
57,0.44428635,0.4045453,0.8008194,0.50589466,0.62935203,0.7605764,0.40874296,0.7357568,0.71714497,0.46045828,0.9003084,0.65091044
58,0.44454604,0.41097647,0.7997159,0.5045845,0.633113,0.75871253,0.40882057,0.734678,0.7145979,0.4590553,0.89942694,0.65388757
59,0.4434155,0.41583073,0.7385867,0.5055234,0.6364502,0.7796315,0.4083839,0.7349832,0.7255959,0.46015212,0.9035405,0.64899004
60,0.4428717,0.4156673,0.7289805,0.5056236,0.6378132,0.7944342,0.40856886,0.73425835,0.71208936,0.4596959,0.9027935,0.64937603
61,0.4431104,0.41264242,0.67505324,0.50618184,0.63426757,0.77961594,0.40858993,0.7341434,0.72253233,0.4598813,0.90349317,0.6390961
62,0.44344383,0.41409272,0.6982573,0.5058518,0.63649356,0.79344225,0.40880138,0.7346082,0.7296774,0.4592695,0.90297043,0.64042026
63,0.44272876,0.41353244,0.69066864,0.5050038,0.63588804,0.7925273,0.40882894,0.73491466,0.72877747,0.45954454,0.90250564,0.63714796
64,0.44107315,0.41101044,0.6900187,0.50476176,0.63341945,0.78915936,0.40949082,0.7337746,0.73395413,0.4586768,0.901992,0.651185
65,0.44290063,0.41134608,0.78358835,0.5058471,0.6321836,0.74307907,0.40934682,0.7334838,0.72553414,0.45901173,0.9030921,0.52940434
66,0.44206747,0.4082987,0.8067736,0.50702596,0.62779945,0.74628514,0.40895933,0.7347455,0.7348817,0.4595383,0.9003698,0.6464772
67,0.4437937,0.400145,0.76205397,0.50560665,0.6240283,0.81412613,0.40970156,0.7336415,0.723315,0.4599248,0.89870095,0.6510171
68,0.44518983,0.3935296,0.7128601,0.5032816,0.62101114,0.8272251,0.40875483,0.7340269,0.73365617,0.45889053,0.8996891,0.5926711
69,0.44371188,0.3875525,0.8526853,0.5062027,0.6134429,0.8158237,0.4085146,0.7336098,0.7261024,0.46054363,0.89801216,0.6632367
70,0.4473338,0.37203133,0.52643555,0.50724494,0.59655374,0.8215154,0.40839952,0.7340287,0.7583049,0.46094912,0.9038171,0.6726781
71,0.4512746,0.35963798,0.6175726,0.5055673,0.5842241,0.7867539,0.4087404,0.7289108,0.73166156,0.46052843,0.90494794,0.5299911
72,0.45351237,0.35034856,0.6915923,0.49961954,0.5771483,0.73771644,0.4093511,0.72690505,0.7679248,0.4604047,0.9015446,0.5691503
73,0.45442963,0.34045172,0.6967635,0.49969047,0.55975354,0.76492035,0.41101128,0.7227823,0.7867325,0.46120283,0.90293396,0.51102257
74,0.45773134,0.33118433,0.73476195,0.49778602,0.5419842,0.7785173,0.41189736,0.7191248,0.78278375,0.46060202,0.9015007,0.58241767
75,0.4601249,0.31381238,0.73240316,0.49575636,0.53472984,0.8457207,0.4125257,0.7179527,0.7671704,0.4603122,0.8992173,0.6275707
76,0.46609306,0.30979374,0.7755515,0.494176,0.52965724,0.81141263,0.41648644,0.72153366,0.6920445,0.45974642,0.89801645,0.63875574
77,0.4670386,0.2961836,0.73674923,0.4906673,0.52229303,0.67976487,0.41679692,0.7176914,0.6633746,0.46032327,0.89922976,0.62083954
78,0.46673155,0.28085506,0.84263337,0.49581942,0.5134796,0.7057759,0.4194562,0.71455264,0.6374166,0.4607284,0.89823836,0.6104894
79,0.4687791,0.27096948,0.78535235,0.49248618,0.50824887,0.81346613,0.42039365,0.7110722,0.66988164,0.45858824,0.8972825,0.71129644
80,0.4675327,0.25820348,0.8295232,0.49274457,0.5058008,0.7976021,0.4204325,0.7110181,0.66670066,0.46096396,0.8984351,0.57117
81,0.4692155,0.24661893,0.74066347,0.49138474,0.501166,0.78052336,0.4253047,0.71111286,0.77105504,0.45781967,0.89998907,0.6562691
82,0.46997473,0.24184608,0.81581616,0.48597783,0.49626052,0.7521136,0.42457482,0.7053346,0.7830639,0.45815027,0.8992332,0.6476912
83,0.46579057,0.23239702,0.7686907,0.48129496,0.48375887,0.7712221,0.4288976,0.7021277,0.79894584,0.4586336,0.8941109,0.66002077
84,0.4682488,0.2360239,0.7850776,0.4744291,0.47757018,0.6288762,0.43164784,0.70020646,0.7470209,0.458768,0.8924841,0.6037237
85,0.46816105,0.22397104,0.7296271,0.4703016,0.46463066,0.6642202,0.4349866,0.6971973,0.60002774,0.46033388,0.8942821,0.5174379
86,0.46517086,0.21933906,0.7179468,0.46067816,0.45758685,0.6400931,0.43931982,0.7026988,0.46239212,0.46075404,0.8953533,0.41860422
87,0.46854544,0.21852893,0.70394915,0.45989162,0.4486344,0.6415176,0.44184422,0.69693696,0.58970714,0.4619107,0.8949365,0.39376786
88,0.4675114,0.22297704,0.72579545,0.4581954,0.4622427,0.54397655,0.44640458,0.69718474,0.53386563,0.4608028,0.8938104,0.3004588
89,0.46734422,0.2212983,0.7000709,0.46266276,0.46594226,0.5609726,0.44786566,0.71138686,0.55873764,0.46147186,0.90104544,0.23353721
90,0.4690628,0.22412056,0.7308352,0.45673925,0.47620207,0.5391243,0.44043803,0.7086925,0.5499142,0.4629488,0.8880667,0.27488473
91,0.47504508,0.21425949,0.58157706,0.46867603,0.48139307,0.5386202,0.4491706,0.7075701,0.60930014,0.4635074,0.88885987,0.31999165
92,0.47150278,0.20913301,0.4071418,0.47134778,0.48536032,0.45950893,0.4509773,0.7094464,0.6114268,0.462852,0.8876452,0.2707231
93,0.46541578,0.21083122,0.45570597,0.47772953,0.472146,0.38460532,0.44731826,0.70072186,0.30811393,0.4601063,0.9048938,0.1901691
94,0.4495024,0.2136513,0.35065192,0.46723998,0.47731644,0.32649204,0.44501647,0.67576313,0.1432502,0.4613192,0.72772086,0.07928006
95,0.4658563,0.216947,0.5283645,0.4751237,0.48273772,0.35530233,0.4493118,0.7080083,0.31670323,0.4584077,0.9128651,0.1458324
96,0.4650353,0.21128581,0.47373897,0.47314236,0.4821187,0.3533266,0.45046946,0.7088783,0.35873654,0.46026605,0.9197964,0.15379876
97,0.4640262,0.2140682,0.53519106,0.472951,0.48297393,0.34700745,0.45020002,0.7073235,0.35116985,0.45890582,0.9091886,0.11935692
98,0.46360573,0.21473366,0.5355224,0.47458538,0.48181137,0.3549433,0.45053825,0.70622677,0.32211447,0.4595999,0.9115747,0.13204528
