frame,shoulder_x,shoulder_y,shoulder_conf,elbow_x,elbow_y,elbow_conf,wrist_x,wrist_y,wrist_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
27,0.5288995,0.40236622,0.009376734,0.42803797,0.5763328,0.00422629,0.3597057,0.5689776,0.0034015195,0.53168744,0.4699863,0.008451012,0.61838305,0.5317567,0.029914806,0.45441574,0.6743188,0.012198815
28,0.52722013,0.38499963,0.0074868323,0.42832732,0.5764271,0.0043067755,0.37324387,0.5710162,0.0032848448,0.5321058,0.46985823,0.00868145,0.61837894,0.53166056,0.030827863,0.4542407,0.6743574,0.01216692
29,0.5274399,0.3849517,0.0076880804,0.42854908,0.5763711,0.004470595,0.37364614,0.5712846,0.0034011703,0.53236586,0.46994302,0.00909046,0.61830574,0.53173214,0.032244686,0.45417854,0.6741799,0.012244366
30,0.5276631,0.38527074,0.007776522,0.4286831,0.576132,0.0045913476,0.37394115,0.5714442,0.003505858,0.5324327,0.47011194,0.0093048895,0.6181846,0.53156644,0.03299508,0.45404196,0.67404586,0.012391659
31,0.5276896,0.385281,0.007822818,0.44677028,0.57590723,0.0048578028,0.3739441,0.57135826,0.0035682993,0.5326184,0.46997586,0.009613127,0.6066682,0.5311971,0.032824915,0.4540476,0.67404974,0.012472379
32,0.52796566,0.38478738,0.007824521,0.4469684,0.5759104,0.004866595,0.37374786,0.5713716,0.003569893,0.5328137,0.46982715,0.009761801,0.61788154,0.53168195,0.033983435,0.45398903,0.674451,0.012400744
33,0.52818376,0.38485295,0.00782999,0.44726822,0.57602614,0.0049006552,0.37352473,0.5712807,0.0035800203,0.532967,0.4698189,0.00986739,0.606304,0.5313964,0.033480942,0.45389003,0.6745976,0.012421913
34,0.5281094,0.38511768,0.0078023965,0.44707042,0.57610047,0.0048109074,0.37305441,0.571187,0.0035995918,0.53313065,0.46928027,0.010222223,0.6063589,0.5315884,0.034376204,0.4536517,0.67478603,0.012349586
35,0.52813166,0.38505068,0.007550864,0.4468919,0.57619315,0.004671647,0.3724884,0.57117957,0.0036123372,0.53498083,0.4829198,0.009519913,0.6066801,0.531644,0.035123102,0.45326805,0.6896309,0.01121562
36,0.52571315,0.36791524,0.005809108,0.44687212,0.57629675,0.0048182323,0.37240747,0.5714452,0.0036701947,0.5350882,0.48303777,0.009955069,0.6067392,0.5316651,0.035772365,0.4528477,0.68972844,0.011224212
