frame,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf
20,0.5109407,0.42449677,0.008361023,0.52316785,0.59870803,0.0029262705,0.6059704,0.51963663,0.048902046,0.46592587,0.6702321,0.015271961,0.6021678,0.47008044,0.014741193,0.5315478,0.5453767,0.009686693,0.5979597,0.5201398,0.061426267,0.44801587,0.7978781,0.005531095
21,0.51095927,0.42448682,0.008353616,0.52318037,0.5987067,0.0029246986,0.60596716,0.51964056,0.048869777,0.46592057,0.6702302,0.015291837,0.60215205,0.470064,0.014737605,0.53153664,0.5453757,0.009683322,0.59794915,0.5201426,0.06138041,0.44801345,0.7978646,0.005545358
22,0.51075065,0.42428097,0.008486931,0.52313226,0.598592,0.0029426215,0.60564077,0.5200174,0.047807094,0.46610978,0.6700968,0.015629306,0.60189325,0.46987513,0.014463933,0.53143394,0.5453987,0.009578429,0.59742063,0.5205964,0.060012788,0.44822684,0.7975457,0.005558748
23,0.50806653,0.4081607,0.0072960234,0.522945,0.5984689,0.003010697,0.60559106,0.52017707,0.047123782,0.46622854,0.66996366,0.01604771,0.60200584,0.4698351,0.014467202,0.5133685,0.54445076,0.01014268,0.59739846,0.5208833,0.059284374,0.44845033,0.7974774,0.0056002988
24,0.5082035,0.4078922,0.007238563,0.5228573,0.59834886,0.0030487159,0.6054623,0.52018994,0.046855185,0.46656516,0.66981745,0.016406009,0.602008,0.46979305,0.014354662,0.5131797,0.55865,0.009222981,0.59731334,0.5209645,0.05883623,0.44860816,0.79740906,0.00563159
25,0.50817746,0.40782672,0.0072517633,0.52266335,0.59831625,0.0030315467,0.6054847,0.5201047,0.04678829,0.466641,0.66986597,0.016633326,0.6017305,0.4699632,0.01425173,0.51317847,0.54452014,0.010145921,0.597313,0.5208681,0.0589002,0.4487663,0.79746443,0.0056855944
26,0.5081038,0.407718,0.0073467796,0.52240556,0.5984221,0.003003048,0.6054914,0.52014124,0.04641479,0.46664265,0.6697917,0.016883928,0.6016092,0.46996787,0.014106441,0.5129745,0.54450154,0.009989818,0.5973967,0.52085984,0.058774896,0.4489184,0.7974653,0.0057374947
27,0.5081447,0.40772304,0.007358466,0.5223971,0.5984038,0.0030037707,0.6054741,0.5201576,0.046511717,0.46663678,0.66978335,0.016903704,0.6015904,0.46996886,0.014118233,0.51299024,0.5444778,0.0100189755,0.5973837,0.5208754,0.05887903,0.44892195,0.79746825,0.0057391543
28,0.5081486,0.4075949,0.007317408,0.52212095,0.5984841,0.0030071882,0.6053275,0.520244,0.0462772,0.4665646,0.6696694,0.017051723,0.6015788,0.47001547,0.014014032,0.53103673,0.53094167,0.010443805,0.5972551,0.52097315,0.05884607,0.4490145,0.7975594,0.005782141
29,0.50790614,0.4075404,0.0073673665,0.5219212,0.59847075,0.0029972729,0.605302,0.5204339,0.04591653,0.46669787,0.6696064,0.017429633,0.60133755,0.46995023,0.013895955,0.5315626,0.51595354,0.01164464,0.5972156,0.5211295,0.05845054,0.44909635,0.79750746,0.005818548
