frame,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf
20,0.5249629,0.36532494,0.0022901597,0.5980523,0.52772987,0.0054599037,0.6094418,0.5316235,0.029154021,0.4336581,0.74311507,0.009973358,0.4707925,0.5160797,0.013565192,0.7155007,0.5927289,0.021060742,0.610133,0.51996887,0.03745153,0.4416342,0.8550758,0.00528804
21,0.524979,0.3652837,0.0022867736,0.5980645,0.52773446,0.005467921,0.60947514,0.531651,0.029233169,0.43366203,0.7431181,0.009975123,0.47077507,0.5160433,0.013544458,0.7154889,0.59267026,0.021106383,0.6101878,0.520006,0.037531376,0.44163996,0.8550977,0.005284592
22,0.5246801,0.3655507,0.0022758748,0.7193012,0.6308383,0.009451487,0.6092753,0.5332554,0.028465424,0.4328478,0.7252987,0.010780214,0.5875911,0.45712507,0.0077604004,0.71521497,0.59224087,0.020468758,0.6094999,0.5214146,0.034130685,0.4263489,0.8572961,0.0047425316
23,0.524532,0.36614576,0.002263148,0.7192815,0.6311619,0.00918715,0.6090252,0.5434272,0.026622145,0.43292427,0.72476214,0.010903191,0.5876733,0.45694852,0.007899963,0.7154937,0.5923573,0.020388735,0.6221828,0.5206013,0.033669263,0.4266379,0.8576213,0.004721687
24,0.524387,0.36601612,0.0021842883,0.7190269,0.63147336,0.00912474,0.6082577,0.54375196,0.026288863,0.43310276,0.7244759,0.011092458,0.58797044,0.4572927,0.008086872,0.7157451,0.59271425,0.020215092,0.62277067,0.50963604,0.036772233,0.4273635,0.8577419,0.004816262
25,0.5242138,0.36618954,0.0021718708,0.5877331,0.5989781,0.0016930486,0.6080341,0.54326695,0.025294838,0.43326873,0.7243665,0.011439157,0.471993,0.5155161,0.013761593,0.7157958,0.59262383,0.020205654,0.6222457,0.5095766,0.03808449,0.42785412,0.8575374,0.004962742
26,0.5241449,0.36582515,0.002200181,0.56858474,0.59831184,0.0017217891,0.6200464,0.5321642,0.026623517,0.4337607,0.7243146,0.0116045205,0.47173753,0.5156684,0.013699955,0.7157983,0.5936416,0.019559523,0.6099839,0.510483,0.037689492,0.42851514,0.85716045,0.0050615733
27,0.52414346,0.36581963,0.0021960947,0.56858194,0.59830034,0.0017191061,0.62005085,0.5321809,0.02656258,0.43371966,0.72431374,0.011609466,0.47168374,0.5156384,0.013725798,0.71577823,0.5935948,0.01957716,0.60997164,0.51047885,0.03758665,0.42847002,0.85716957,0.005062429
28,0.52425194,0.3657389,0.0021771933,0.5687056,0.5982123,0.0016955303,0.6199005,0.5319367,0.026925117,0.4336819,0.72449756,0.011706607,0.4718904,0.51554424,0.013500104,0.71581864,0.5940059,0.01934482,0.6096435,0.5106629,0.03798497,0.4286241,0.8572527,0.005041957
29,0.5240083,0.36578572,0.00222372,0.5682595,0.5980887,0.0017138841,0.6081118,0.531402,0.026771162,0.43402013,0.72437215,0.012006061,0.47154754,0.5151491,0.013441146,0.71545523,0.59406894,0.019189639,0.6094878,0.511005,0.038298074,0.41060287,0.85975885,0.0042384425
30,0.50642645,0.36536536,0.0020208498,0.56788707,0.5983947,0.0017208993,0.6080665,0.53117704,0.02659962,0.4342967,0.7244469,0.012057886,0.5885042,0.4580337,0.0077692214,0.70820796,0.5817263,0.017141975,0.60954696,0.51103336,0.038372137,0.4105341,0.86012,0.0042067757
31,0.5065326,0.36539266,0.0020435243,0.5672365,0.5985968,0.0017452309,0.6080633,0.53093857,0.026952486,0.43441772,0.7246234,0.011955431,0.5888239,0.45809227,0.007727607,0.7079936,0.5820837,0.017191825,0.60967034,0.5109111,0.03854563,0.410576,0.86047333,0.0040967665
32,0.50626975,0.36542526,0.002066189,0.5666944,0.5987447,0.0017382592,0.6079789,0.5309641,0.0263733,0.43467677,0.72475916,0.012052791,0.58880526,0.4582411,0.007575291,0.7078909,0.5823797,0.017310562,0.6099181,0.5108852,0.037398096,0.41074187,0.86085075,0.0040721195
33,0.5062793,0.36541483,0.002066581,0.56670105,0.59875435,0.0017384323,0.60796505,0.5309748,0.026406119,0.43467855,0.724738,0.012056278,0.588819,0.45825204,0.0075811506,0.70788926,0.5823809,0.017316688,0.6099079,0.51090384,0.037447084,0.4107138,0.8608626,0.0040631355
34,0.5064313,0.36538178,0.002094474,0.56627095,0.59880465,0.0017163106,0.60789645,0.53084725,0.02577615,0.43460542,0.72487,0.012009886,0.5889174,0.45813695,0.0074949795,0.7077412,0.5825576,0.01739528,0.5994758,0.5116487,0.03538579,0.41081583,0.8610947,0.004106125
