frame,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf
13,0.5114572,0.40137488,0.0031334637,0.40440968,0.5596852,0.0025254248,0.3571437,0.57122016,0.003009651,0.4041054,0.48912323,0.0074393568,0.62250674,0.53007376,0.021306997,0.48556724,0.81643146,0.0027858736,0.58904165,0.45692885,0.0062366743,0.5547886,0.5617592,0.0050000167,0.4738893,0.6095193,0.0037999572,0.71919006,0.644891,0.0121865645,0.6019589,0.49914002,0.030198924,0.42485064,0.72562987,0.010956322
14,0.5115085,0.40135247,0.003037392,0.4226373,0.56001204,0.002744068,0.35700405,0.5714036,0.0030347896,0.5720653,0.6006519,0.0012821566,0.62254053,0.5303032,0.021783194,0.43707454,0.692802,0.013933753,0.5874236,0.4702857,0.0070652366,0.55490696,0.5620667,0.005351435,0.4739221,0.60973924,0.003870297,0.71896523,0.6446669,0.012385254,0.60074437,0.5087324,0.029030483,0.4219188,0.7077824,0.013071485
15,0.5114993,0.4013421,0.003031959,0.42260116,0.5600148,0.0027367962,0.35701585,0.57142836,0.0030343768,0.5720375,0.6006532,0.0012836852,0.6225647,0.5302953,0.02178557,0.43709347,0.69280344,0.013963244,0.5874068,0.47026652,0.00705607,0.5549219,0.5620667,0.005353436,0.47390428,0.60976464,0.0038511998,0.7189076,0.6446353,0.012432746,0.6007458,0.5087427,0.029017892,0.42192245,0.70777255,0.0130992755
16,0.51171094,0.4014373,0.0030063677,0.42279607,0.560146,0.0027873525,0.35694,0.5713489,0.0030443685,0.5723628,0.6008628,0.0013183058,0.6224555,0.5305839,0.022178108,0.4372127,0.6925605,0.014221075,0.587649,0.4701856,0.00705274,0.55508775,0.5625183,0.005720421,0.47256956,0.62475675,0.0033265483,0.71877915,0.64462864,0.01250722,0.6006066,0.5088911,0.029255979,0.42186385,0.7076631,0.013201745
17,0.5101944,0.38294846,0.0024585032,0.4231037,0.56004494,0.0028734598,0.3569647,0.57141376,0.0030577048,0.5723133,0.60091555,0.0013820764,0.62223107,0.5306624,0.022561757,0.43680066,0.6921111,0.014202698,0.5876703,0.470003,0.007169292,0.55519325,0.56259304,0.0060013602,0.4727162,0.6251215,0.0034511972,0.7185807,0.6443539,0.012879409,0.6002957,0.5088875,0.029978178,0.4243218,0.7251472,0.011383943
18,0.5100403,0.38298193,0.00255886,0.42299312,0.5597766,0.0029257792,0.35703045,0.57138187,0.003090876,0.5721714,0.60078263,0.0014036963,0.6219907,0.53049463,0.022253156,0.4364406,0.6920786,0.014071722,0.5874646,0.46982348,0.007116855,0.5549832,0.5622591,0.0058899047,0.4723518,0.6250782,0.0034447433,0.7186279,0.64451396,0.01284132,0.60006326,0.5087316,0.029884377,0.42423284,0.7252517,0.011424521
19,0.51000077,0.383127,0.0026335723,0.4228554,0.5596884,0.0029439505,0.35703987,0.5714666,0.0030795804,0.57199633,0.60063636,0.0014245735,0.6219319,0.5301863,0.021991815,0.4377123,0.7080474,0.0129657835,0.58734953,0.46957704,0.0070461244,0.55493194,0.56192267,0.0058506792,0.47194818,0.62507284,0.0034050695,0.7186,0.6444809,0.012952341,0.600063,0.50846714,0.029919282,0.42100373,0.70739174,0.013377516
20,0.5100542,0.3832335,0.002701247,0.42252305,0.5597084,0.002915085,0.35679406,0.5713401,0.0030799315,0.57184106,0.6004969,0.0014233794,0.62202436,0.5300343,0.02119729,0.42601812,0.706211,0.013774009,0.55039996,0.48301214,0.007954699,0.55475754,0.56151754,0.0057259267,0.47306457,0.6103174,0.0038837201,0.7207879,0.62970555,0.013228708,0.6000964,0.5082315,0.029062252,0.42074975,0.7075848,0.01351374
21,0.5099308,0.38325855,0.0026997726,0.42249173,0.55970246,0.0029052738,0.35677183,0.5713142,0.0030754707,0.5718781,0.60046923,0.0014188539,0.622045,0.5300301,0.021221707,0.42599028,0.70621127,0.013748435,0.5503948,0.48301554,0.007972034,0.5547756,0.5615359,0.0057150726,0.47308162,0.610313,0.0038733096,0.72080415,0.6297367,0.013191146,0.6001259,0.50823945,0.029061465,0.42073333,0.70757824,0.013487251
22,0.51011765,0.38321322,0.0027281477,0.42219144,0.5597145,0.002809476,0.35631925,0.5712392,0.0030462155,0.5720062,0.60031474,0.0014112669,0.6099346,0.52982885,0.02012011,0.42549223,0.7062968,0.013778411,0.55027664,0.48247832,0.0076946863,0.5545688,0.5612452,0.0056462605,0.47288093,0.6102287,0.0038282315,0.7208947,0.6294558,0.013744305,0.60009193,0.50799036,0.028383745,0.42018843,0.70767087,0.013528361
23,0.5101416,0.38310516,0.0027056467,0.4219302,0.5598816,0.0026841497,0.35585526,0.57114804,0.0029835042,0.5722504,0.6001392,0.0013865115,0.60998887,0.5298561,0.019572025,0.4249471,0.7063565,0.013725037,0.46808,0.5122334,0.009926921,0.5545835,0.56110185,0.005513965,0.47267815,0.6100916,0.0037546377,0.72094995,0.6291121,0.01431325,0.60025597,0.5079209,0.027659161,0.4195971,0.7077201,0.0135065885
24,0.509786,0.383138,0.0027392544,0.42169556,0.55994403,0.0026075372,0.3556735,0.5710719,0.0029429684,0.5724348,0.6000197,0.0013730099,0.60999084,0.5297999,0.019289441,0.42463085,0.70634013,0.013726262,0.48789722,0.5116524,0.00954613,0.5545504,0.5610005,0.005445689,0.47270116,0.6099522,0.0036886344,0.72089046,0.6289174,0.014633522,0.60031754,0.5078279,0.027325144,0.4170197,0.6910393,0.015279275
25,0.5099746,0.38310644,0.0027056388,0.42146096,0.5600351,0.002574065,0.35558534,0.5711725,0.0029479843,0.57229716,0.59984756,0.0013636571,0.6222512,0.5297358,0.01966665,0.42415988,0.7063591,0.013812345,0.48768467,0.5114841,0.009592608,0.5546002,0.56092906,0.005326592,0.47249717,0.6099121,0.0036579883,0.72060174,0.62868255,0.014979733,0.60051477,0.5077113,0.027583623,0.41663384,0.6910566,0.015351517
26,0.5098776,0.3831029,0.0026976052,0.4213911,0.5601369,0.0025984198,0.3557503,0.5553299,0.0026814665,0.57230234,0.59976447,0.0013581276,0.6224527,0.52964574,0.020020701,0.42382756,0.70627713,0.013823152,0.4874495,0.5115336,0.009749473,0.5547133,0.5609676,0.005321021,0.47226462,0.60967976,0.0036163258,0.7202933,0.6284946,0.015206391,0.6007372,0.50764143,0.028049966,0.4163707,0.69098324,0.015249093
27,0.50985724,0.38308954,0.0026902247,0.4213608,0.5601663,0.002589339,0.3557305,0.55534637,0.002673001,0.5722809,0.5997355,0.0013585492,0.6224541,0.5296352,0.01994741,0.42380172,0.7062873,0.013834102,0.4874365,0.51152194,0.009748788,0.55467737,0.56094414,0.005315313,0.47226974,0.6096892,0.003613461,0.72028553,0.62847984,0.015235008,0.6007297,0.5076303,0.027976494,0.41634598,0.6909978,0.015262676
28,0.51041394,0.3829924,0.002664428,0.42138132,0.56020725,0.0026306259,0.3559578,0.55542386,0.002703325,0.5723465,0.599818,0.0013758751,0.6225828,0.5296408,0.020811653,0.42365533,0.7062781,0.013813177,0.48744524,0.511629,0.009841615,0.5547759,0.56106377,0.0053963815,0.47220963,0.60938764,0.003658904,0.7201617,0.6283133,0.015446872,0.6008957,0.5076687,0.02918927,0.41623452,0.6909877,0.015143317
29,0.5104348,0.38317218,0.0027126342,0.42150918,0.5602231,0.0026846603,0.35608393,0.5553736,0.0027221797,0.57256347,0.6000022,0.0013916098,0.6224168,0.5296776,0.021229066,0.42376202,0.70633787,0.013797732,0.48755828,0.5118091,0.009835172,0.5548716,0.56095016,0.0054218704,0.47243473,0.60902756,0.0037057141,0.71811503,0.6430803,0.0152735375,0.60094386,0.5077084,0.029991437,0.41630167,0.69110453,0.014953525
30,0.51071936,0.38320628,0.0027691291,0.4217191,0.56023496,0.0027299619,0.35635963,0.5554806,0.0027225488,0.5727223,0.60013574,0.0014128725,0.62233317,0.5295647,0.021869835,0.42390665,0.7063892,0.013601353,0.58937615,0.4550917,0.0060791643,0.554972,0.56090355,0.0055181035,0.47266164,0.6088885,0.0037743254,0.7179698,0.6431006,0.01529784,0.60091144,0.5074669,0.031022288,0.4149447,0.6761453,0.016317746
31,0.5105396,0.38317272,0.0027365424,0.42168194,0.5601735,0.0027491169,0.35629845,0.5553973,0.002743101,0.57265264,0.6001552,0.0014052612,0.62237084,0.52959466,0.02178534,0.42398345,0.7063889,0.013588935,0.55073947,0.4819179,0.0078110206,0.554951,0.5608156,0.0054444824,0.472562,0.60874945,0.0037991668,0.7180437,0.6432358,0.015123965,0.6010499,0.50754577,0.030913757,0.41651976,0.6912382,0.014610692
