frame,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf
13,0.5100314,0.42531294,0.008083516,0.4281518,0.5724329,0.006694223,0.37775862,0.55547446,0.004052909,0.5243103,0.61326545,0.0023179725,0.6066971,0.5198899,0.041791234,0.46781686,0.68724746,0.015534604,0.6023811,0.47048414,0.014214304,0.57045287,0.572672,0.007283073,0.49045998,0.6183847,0.0073676496,0.5684937,0.6171683,0.0026178097,0.5989628,0.5206004,0.05537194,0.4400416,0.7980926,0.004704289
14,0.5100493,0.42540047,0.00800577,0.4282607,0.57229096,0.0067188023,0.37775037,0.5555003,0.0040681567,0.52431756,0.6133176,0.0023195578,0.60668206,0.519957,0.04193878,0.46773908,0.68722916,0.015640397,0.6023436,0.47056204,0.014299222,0.57046306,0.57267714,0.0073847743,0.49040255,0.6184164,0.0073623187,0.568542,0.6172389,0.0026250943,0.59898084,0.5206751,0.05572228,0.44009674,0.7980725,0.004704838
15,0.5100414,0.4254,0.008016941,0.42823303,0.572299,0.0067154015,0.37774652,0.5554966,0.00406857,0.5243234,0.61331093,0.0023194982,0.6066978,0.5199459,0.041879646,0.46773258,0.6872255,0.015628679,0.60235643,0.47056642,0.014305636,0.57047355,0.5726865,0.0073737404,0.49040714,0.6184018,0.007357375,0.56855017,0.61724097,0.0026250433,0.5989981,0.52066416,0.055651356,0.4400947,0.7980647,0.0047050905
16,0.510004,0.4255015,0.008036277,0.4283744,0.5721286,0.0067883106,0.37784702,0.55540705,0.0040961844,0.52429897,0.6133639,0.0023425203,0.6065912,0.5200368,0.042138353,0.467678,0.68706065,0.015715128,0.60222137,0.4706756,0.014494859,0.57037455,0.57264215,0.0075084525,0.4902902,0.6184519,0.0073766066,0.56859314,0.6173481,0.0026437119,0.59889495,0.5207654,0.056134988,0.4400076,0.7981092,0.0047000446
17,0.50988275,0.42551377,0.008066317,0.4284317,0.57198256,0.0068392446,0.37782538,0.55528456,0.004137558,0.52434736,0.6133923,0.0023665857,0.6065184,0.5201133,0.042483892,0.46758237,0.68685555,0.015679793,0.60217774,0.47071406,0.014641472,0.57034856,0.5725728,0.007620669,0.49022868,0.61852694,0.0074226693,0.56863856,0.61737067,0.0026778781,0.5988327,0.520833,0.05668699,0.43981653,0.7981144,0.0047154767
18,0.5099864,0.42558017,0.008167157,0.42841744,0.57191527,0.006825545,0.3778183,0.5551496,0.0041406183,0.5245237,0.6133677,0.0023719582,0.6064083,0.52020305,0.043030057,0.46761268,0.6868242,0.015698602,0.6022331,0.47069547,0.014706674,0.5703233,0.5725541,0.007655663,0.49024668,0.6185133,0.0074193534,0.5687205,0.61728925,0.0026975935,0.59873444,0.52089494,0.057263307,0.439699,0.7981664,0.0047301417
19,0.51000494,0.42571658,0.008261965,0.42841604,0.57190514,0.0068422514,0.3777912,0.5551423,0.0041495925,0.5246195,0.61335945,0.0023786668,0.60633594,0.52021325,0.04324939,0.46764925,0.6868426,0.01560519,0.6022163,0.47070774,0.014736497,0.5702211,0.57255363,0.007689816,0.49032792,0.61848223,0.007438526,0.56876075,0.6172491,0.0027149017,0.59863925,0.520878,0.057512987,0.4396497,0.7981905,0.004744679
20,0.5101047,0.4256674,0.0082885325,0.42828918,0.5719901,0.006783888,0.37771803,0.5551846,0.004133144,0.52471757,0.61330366,0.002363505,0.6063808,0.5202481,0.0430692,0.46764556,0.6869026,0.0155169945,0.6022914,0.47056052,0.014550155,0.57024896,0.5725306,0.0076079215,0.49038795,0.61844885,0.0073741,0.5687894,0.6171172,0.002709733,0.5986794,0.52088064,0.05719447,0.43955812,0.7982041,0.004747405
21,0.5101068,0.42566425,0.0082873795,0.42828637,0.57199603,0.006784791,0.37771237,0.5551879,0.0041359295,0.52471834,0.6133088,0.0023632161,0.60638183,0.52025294,0.043042164,0.46764126,0.6868937,0.015504171,0.6023059,0.47055596,0.0145316245,0.570262,0.57252604,0.0076107522,0.4903853,0.6184521,0.0073758597,0.56880504,0.61711794,0.0027094071,0.5986888,0.5208873,0.05717149,0.4395462,0.7981943,0.0047450396
22,0.51014537,0.42554405,0.008358486,0.42821282,0.57207614,0.0067124064,0.37756264,0.5551717,0.004111487,0.5248048,0.61323714,0.00234583,0.60645145,0.52026194,0.04278896,0.46763706,0.6869661,0.015329017,0.60233533,0.47030824,0.014384438,0.570285,0.57250017,0.007501115,0.49053577,0.61844426,0.007323978,0.56884414,0.61695963,0.0026989782,0.59872466,0.520856,0.056834523,0.43950835,0.79823685,0.0047357557
