frame,shoulder_x,shoulder_y,shoulder_conf,elbow_x,elbow_y,elbow_conf,wrist_x,wrist_y,wrist_conf,hip_x,hip_y,hip_conf,knee_x,knee_y,knee_conf,ankle_x,ankle_y,ankle_conf
27,0.5120127,0.42552543,0.010512205,0.42904148,0.57346123,0.0069765747,0.37719285,0.5547623,0.0037966226,0.50385183,0.61187613,0.002546471,0.6060236,0.52053213,0.04627236,0.46768612,0.6860593,0.01601699
28,0.5120445,0.42555362,0.010498004,0.42905596,0.573412,0.0070016133,0.3772677,0.5547842,0.0038006324,0.5038382,0.61177945,0.0025559005,0.60604465,0.5205767,0.04667955,0.4676176,0.6860746,0.016048787
29,0.51203203,0.42556646,0.010537497,0.42905,0.5733648,0.0069946186,0.37724024,0.55479544,0.0038001344,0.50386643,0.611735,0.00255276,0.6060653,0.52058446,0.046918936,0.46757582,0.6860877,0.016020026
30,0.51212484,0.42556176,0.010475239,0.42905802,0.5733719,0.0070168003,0.37732893,0.5547942,0.0037982624,0.50388354,0.61167324,0.0025521298,0.60610265,0.5205985,0.04715457,0.46754652,0.6860922,0.016002772
31,0.5122307,0.42561254,0.010393679,0.42909732,0.5734046,0.007017694,0.37745863,0.5548272,0.0037663116,0.50391287,0.61165154,0.0025414655,0.60617644,0.52059805,0.047372498,0.46747485,0.6861339,0.015908293
32,0.51236814,0.4256518,0.0104004005,0.42908233,0.5734336,0.007004548,0.37749434,0.55481,0.0037604712,0.49258524,0.4815566,0.01096184,0.606228,0.5206106,0.04746479,0.4674476,0.6861688,0.015813403
33,0.51254374,0.42563334,0.010409332,0.42908505,0.5734584,0.0069919326,0.37754223,0.55475116,0.0037629446,0.49278226,0.4815838,0.010959752,0.60624063,0.5206485,0.04768708,0.46744588,0.68618286,0.01576685
34,0.51264316,0.42542672,0.010458181,0.42903125,0.57348394,0.006929221,0.37743658,0.55471313,0.003769731,0.49294546,0.48154104,0.010966184,0.6063311,0.52068865,0.047830176,0.46737325,0.68621856,0.015715905
35,0.51279813,0.42524463,0.010313908,0.42898867,0.57352436,0.0068877065,0.37743473,0.55467856,0.0037679975,0.5241409,0.6129268,0.0020547856,0.60638344,0.5207207,0.04802351,0.4673222,0.6862503,0.015729468
36,0.51311284,0.42504907,0.010162956,0.4288806,0.57361203,0.006797335,0.3773763,0.5546792,0.0037587746,0.52429223,0.6127804,0.0020261123,0.606522,0.5206739,0.04817354,0.46722496,0.6863028,0.015693752
