frame,shoulder_x,shoulder_y,shoulder_z,shoulder_vis,hip_x,hip_y,hip_z,hip_vis,knee_x,knee_y,knee_z,knee_vis,ankle_x,ankle_y,ankle_z,ankle_vis
0,0.46008963584899903,0.28224773406982423,0.0,0.9981799125671387,0.4871962547302246,0.5414425320095486,0.0,0.9974855184555054,0.4233386516571045,0.7220076666937933,0.0,0.9939689636230469,0.46415143013000487,0.93238771226671,0.0,0.9577183127403259
1,0.46021413803100586,0.28220770094129777,0.0,0.9981535077095032,0.487396764755249,0.5409145779079861,0.0,0.9974260926246643,0.4234620571136475,0.7216642591688368,0.0,0.9939004182815552,0.46387882232666017,0.932295905219184,0.0,0.9575097560882568
2,0.4594563961029053,0.2749651379055447,0.0,0.9984279870986938,0.4855204582214355,0.5310972849527995,0.0,0.9976903200149536,0.42362327575683595,0.7187901814778646,0.0,0.9942290782928467,0.46393375396728515,0.9339241027832031,0.0,0.957534670829773
3,0.46254191398620603,0.2653672112358941,0.0,0.9984299540519714,0.4847556591033936,0.5254445393880208,0.0,0.9980375170707703,0.4265383243560791,0.717677985297309,0.0,0.9953328967094421,0.4648447036743164,0.9307844373914931,0.0,0.9661865234375
4,0.4609562397003174,0.2630411571926541,0.0,0.998706579208374,0.48256688117980956,0.5202628665500217,0.0,0.998207688331604,0.42610645294189453,0.7151087443033854,0.0,0.9956240057945251,0.46584315299987794,0.9308130900065105,0.0,0.9672616720199585
5,0.46411957740783694,0.25329661899142797,0.0,0.9989302754402161,0.47920899391174315,0.5128995683458116,0.0,0.9982466697692871,0.4291353225708008,0.7123874240451389,0.0,0.996157705783844,0.46656017303466796,0.9276915656195747,0.0,0.9697856307029724
6,0.46379928588867186,0.24909530215793185,0.0,0.9989954829216003,0.4760470390319824,0.5034581078423395,0.0,0.9981520771980286,0.4305460453033447,0.7107805040147569,0.0,0.9955921769142151,0.4674991130828857,0.9268600463867187,0.0,0.9619444012641907
7,0.46455702781677244,0.24863469865587023,0.0,0.9990034699440002,0.4762763500213623,0.5040270487467448,0.0,0.9981892704963684,0.4304809093475342,0.7101075066460504,0.0,0.9957271814346313,0.46767120361328124,0.9266247219509549,0.0,0.963410496711731
8,0.463169002532959,0.2432424545288086,0.0,0.9990360736846924,0.47327380180358886,0.5002493540445964,0.0,0.998288094997406,0.4327798843383789,0.7091030544704862,0.0,0.9959361553192139,0.4676166534423828,0.9294358147515192,0.0,0.9646427035331726
9,0.4567604064941406,0.24465211232503256,0.0,0.9988248944282532,0.46877431869506836,0.48881785074869794,0.0,0.9981878399848938,0.4336094379425049,0.7004506429036458,0.0,0.9951275587081909,0.46999211311340333,0.9275965372721354,0.0,0.9574687480926514
10,0.46156086921691897,0.24024535285101997,0.0,0.9987220168113708,0.4684864044189453,0.49017134772406684,0.0,0.9978246688842773,0.43656420707702637,0.7059961954752604,0.0,0.9958367347717285,0.46859102249145507,0.9267665439181858,0.0,0.9687864184379578
11,0.45724873542785643,0.23963294559054904,0.0,0.9980119466781616,0.46410336494445803,0.4832972208658854,0.0,0.9969929456710815,0.43914027214050294,0.6999846564398872,0.0,0.9958213567733765,0.46924238204956054,0.9219206068250868,0.0,0.974294126033783
12,0.4571843147277832,0.23807519276936848,0.0,0.9974468946456909,0.4608600616455078,0.4792501237657335,0.0,0.9963713884353638,0.441115665435791,0.6998279995388454,0.0,0.9955246448516846,0.4700915813446045,0.921885511610243,0.0,0.9753588438034058
13,0.45688958168029786,0.23848147922092014,0.0,0.997492790222168,0.46096115112304686,0.47958458794487846,0.0,0.9964325428009033,0.4410733222961426,0.6995425754123263,0.0,0.9955443739891052,0.47005352973937986,0.9211639404296875,0.0,0.9752530455589294
14,0.45871725082397463,0.23035541110568578,0.0,0.9973281621932983,0.45959982872009275,0.47278654310438367,0.0,0.9960899949073792,0.4431795120239258,0.7002719455295139,0.0,0.9949127435684204,0.4718627452850342,0.9246900770399306,0.0,0.9725384712219238
15,0.4558682441711426,0.2302376217312283,0.0,0.9945895671844482,0.4635595798492432,0.4759153578016493,0.0,0.9889194369316101,0.44583687782287595,0.6987867567274305,0.0,0.9863013029098511,0.4707927703857422,0.9075363159179688,0.0,0.933349072933197
16,0.4574535369873047,0.2341035419040256,0.0,0.998344898223877,0.45618352890014646,0.4761000315348307,0.0,0.9965959191322327,0.4454371452331543,0.7023153516981336,0.0,0.9936619997024536,0.4722582340240479,0.925787353515625,0.0,0.955638587474823
