frame,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_shoulder_vis,l_hip_x,l_hip_y,l_hip_z,l_hip_vis,l_knee_x,l_knee_y,l_knee_z,l_knee_vis,l_ankle_x,l_ankle_y,l_ankle_z,l_ankle_vis,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_shoulder_vis,r_hip_x,r_hip_y,r_hip_z,r_hip_vis,r_knee_x,r_knee_y,r_knee_z,r_knee_vis,r_ankle_x,r_ankle_y,r_ankle_z,r_ankle_vis
0,0.7279310026926974,0.4735104908662684,0.0,0.9976657629013062,0.7157629164691749,0.6237044031479779,0.0,0.9978030323982239,0.7177358970482479,0.7456787827435661,0.0,0.9973056316375732,0.7890647345506995,0.8614347570082721,0.0,0.985920250415802,0.6785149993258042,0.4694455853630515,0.0,0.8411400318145752,0.6856127623234832,0.6220862534466912,0.0,0.9816345572471619,0.7032885691112055,0.7411225442325368,0.0,0.9808505773544312,0.7677599535826359,0.847271728515625,0.0,0.9546985626220703
1,0.722759741619541,0.47260483685661764,0.0,0.9974516034126282,0.7031055274867613,0.625316162109375,0.0,0.9975666999816895,0.7041304839704825,0.7446748621323529,0.0,0.9961863160133362,0.777405423599307,0.8577776022518382,0.0,0.9795137643814087,0.676240929001046,0.46656820858226106,0.0,0.8384005427360535,0.6717018542429394,0.6219744514016544,0.0,0.9821087121963501,0.6861196861107479,0.7385163430606617,0.0,0.9758166670799255,0.7559376481187893,0.8466052964154411,0.0,0.9383937120437622
2,0.7216314212048902,0.47441524730009194,0.0,0.9990122318267822,0.7009645725393894,0.6262945197610295,0.0,0.9988846182823181,0.6921944717981825,0.7499826229319853,0.0,0.9981576800346375,0.7782779198810147,0.8610923856847427,0.0,0.9865391850471497,0.6733169236442534,0.4675634406594669,0.0,0.8900715112686157,0.6715088529068057,0.6232612161075368,0.0,0.9883125424385071,0.6747582726897555,0.7432431927849265,0.0,0.9828404188156128,0.7530486294415206,0.841363525390625,0.0,0.9496435523033142
3,0.7219059517194037,0.4748265524471507,0.0,0.9989810585975647,0.7012084577871666,0.6263813332950368,0.0,0.9988120794296265,0.6912631110666188,0.7496547564338235,0.0,0.9981156587600708,0.7786123363542756,0.8605397661994485,0.0,0.9867126941680908,0.6743829958608459,0.4673729750689338,0.0,0.881591260433197,0.6723390204138336,0.6230978573069853,0.0,0.9872523546218872,0.6748312467311716,0.7428632668887868,0.0,0.9820325970649719,0.7529554805995031,0.8411417164522059,0.0,0.9494757652282715
4,0.7150396881741958,0.47200784122242645,0.0,0.9985013008117676,0.7002076982953059,0.6288301355698529,0.0,0.9989007711410522,0.6776642739523405,0.7496811092601103,0.0,0.99847811460495,0.7443824672299948,0.86336669921875,0.0,0.9911081790924072,0.6685409865119966,0.4713229549632353,0.0,0.9200732707977295,0.673863558589664,0.6277373908547794,0.0,0.9922106266021729,0.6822835371584074,0.7476181927849265,0.0,0.990247905254364,0.7477259296752419,0.8543126723345589,0.0,0.9729607701301575
5,0.7201425081516409,0.47242657829733453,0.0,0.9992672801017761,0.7099155441986467,0.6226990464154412,0.0,0.9994971752166748,0.6471230734342311,0.74495849609375,0.0,0.9991629123687744,0.6690379505875719,0.8677447150735295,0.0,0.9925578832626343,0.6723915004331198,0.46753155876608454,0.0,0.9711775183677673,0.6902760781004837,0.6186623247931985,0.0,0.9967547059059143,0.705499178196097,0.738878604664522,0.0,0.9948705434799194,0.7655962700624346,0.8534568876378676,0.0,0.9783510565757751
6,0.7186442738297594,0.4708160400390625,0.0,0.9993163347244263,0.7135700561012683,0.6195458266314339,0.0,0.9994727969169617,0.612525141887585,0.7430870145909927,0.0,0.9988073110580444,0.5939140160213454,0.8675766170726102,0.0,0.9862310290336609,0.6630574629396574,0.4663045726102941,0.0,0.9855074882507324,0.6949766789520136,0.6143500832950368,0.0,0.9975085258483887,0.7150431996110094,0.7344536994485295,0.0,0.9944484233856201,0.7787047829089304,0.8523313993566176,0.0,0.9665705561637878
7,0.7247943319536153,0.4707864559397978,0.0,0.9993534684181213,0.7179857198164553,0.6240310489430148,0.0,0.9995365142822266,0.6061848277327406,0.7475868135340074,0.0,0.9988470077514648,0.5575366159862055,0.8667689424402574,0.0,0.9857579469680786,0.6634142887642194,0.46608362534466913,0.0,0.9863911867141724,0.6964300307269874,0.6175967945772058,0.0,0.997822642326355,0.7192140204138336,0.7375399241727941,0.0,0.9946770668029785,0.7800736686674621,0.853051326976103,0.0,0.9655892848968506
8,0.7236362600925078,0.472660307042739,0.0,0.9993346333503723,0.7131400647023731,0.6317091997931985,0.0,0.9995006322860718,0.5859507796155857,0.7548957375919118,0.0,0.9987401366233826,0.5186643400950411,0.8682661707261029,0.0,0.9848670363426208,0.6633603403259022,0.46788225959329044,0.0,0.9867669939994812,0.6960168303804917,0.6245943675321691,0.0,0.9977151155471802,0.7234973348833028,0.742935791015625,0.0,0.9943304061889648,0.7882540395569103,0.8531732536764706,0.0,0.9638965129852295
9,0.7244534672054785,0.472645263671875,0.0,0.9993025064468384,0.7130412337171482,0.6332484346277574,0.0,0.9994524121284485,0.5888879368993528,0.7546864229090073,0.0,0.9986622333526611,0.521427617412232,0.8683603802849265,0.0,0.9845834970474243,0.6624583479749607,0.4682429055606618,0.0,0.9859917759895325,0.694120590656871,0.6261107680376838,0.0,0.9974902868270874,0.7226669758433577,0.7419892434512868,0.0,0.993989109992981,0.7872526416219927,0.8521664608226103,0.0,0.9633334875106812
