frame,shoulder_x,shoulder_y,shoulder_z,shoulder_vis,elbow_x,elbow_y,elbow_z,elbow_vis,wrist_x,wrist_y,wrist_z,wrist_vis,hip_x,hip_y,hip_z,hip_vis,knee_x,knee_y,knee_z,knee_vis,ankle_x,ankle_y,ankle_z,ankle_vis
0,0.7157829284667969,0.37216101752387154,0.0,0.9974021911621094,0.685335350036621,0.6076990763346354,0.0,0.994755744934082,0.6954507827758789,0.8101888020833333,0.0,0.9680125713348389,0.49340861638387046,0.41073277791341145,0.0,0.9960730075836182,0.3826054890950521,0.5504218772605614,0.0,0.984782874584198,0.1890714168548584,0.6362625122070312,0.0,0.8980882167816162
1,0.7189486185709636,0.3742768464265046,0.0,0.9972831010818481,0.6857765197753907,0.6090793750904224,0.0,0.9943948984146118,0.6983957290649414,0.8144774260344328,0.0,0.9656453132629395,0.4982468605041504,0.41102221453631366,0.0,0.9956399202346802,0.3849229176839193,0.5542530201099537,0.0,0.9826064109802246,0.18593740463256836,0.6470022130895544,0.0,0.8805290460586548
2,0.7185269673665364,0.375707612214265,0.0,0.9971855282783508,0.6864917755126954,0.6104398939344619,0.0,0.9942736029624939,0.6992717742919922,0.8144201208043982,0.0,0.9646359086036682,0.4938492774963379,0.420831553141276,0.0,0.9948016405105591,0.38345696131388346,0.558607652452257,0.0,0.9781515598297119,0.1821277618408203,0.6430831909179687,0.0,0.8539251685142517
3,0.7201698303222657,0.37610917267975985,0.0,0.9964146614074707,0.6887421290079753,0.6101361875180845,0.0,0.9927252531051636,0.7032911300659179,0.8166145042136863,0.0,0.9573161005973816,0.4920459747314453,0.41028993394639757,0.0,0.9935951828956604,0.3854294459025065,0.5509050722475405,0.0,0.9741154909133911,0.18628950119018556,0.6391834965458623,0.0,0.8356585502624512
4,0.7210163116455078,0.3773877461751302,0.0,0.9971599578857422,0.6894135157267253,0.6070833559389468,0.0,0.9939042925834656,0.7032453536987304,0.8132119072808159,0.0,0.9621700048446655,0.49412784576416013,0.4133310106065538,0.0,0.9948529601097107,0.3833049456278483,0.5567222312644676,0.0,0.9782149791717529,0.1858603000640869,0.6399631641529224,0.0,0.8532552123069763
5,0.7222038269042969,0.37962366739908854,0.0,0.9972442388534546,0.6878225962320964,0.6071717438874421,0.0,0.994152843952179,0.7021556854248047,0.8141664858217592,0.0,0.9636459350585938,0.4973619778951009,0.4214744567871094,0.0,0.9943344593048096,0.38827021916707355,0.5567720766420717,0.0,0.9762016534805298,0.1835636615753174,0.6479281390154803,0.0,0.8397781848907471
6,0.7234601974487305,0.3798929285120081,0.0,0.9971110820770264,0.6884034474690756,0.6080965960467303,0.0,0.9942026734352112,0.7013544082641602,0.8117606268988715,0.0,0.9641687870025635,0.49972060521443684,0.4167249043782552,0.0,0.9947486519813538,0.3927589416503906,0.5592887030707465,0.0,0.9785464406013489,0.1889596939086914,0.6466600206163194,0.0,0.8528791666030884
7,0.7211362202962239,0.37464726765950523,0.0,0.9968960285186768,0.6901467641194662,0.6064158686885127,0.0,0.9939272403717041,0.7019123077392578,0.8114291720920139,0.0,0.9633113741874695,0.4971403439839681,0.4194710625542535,0.0,0.9940901398658752,0.3915349006652832,0.5544694688585069,0.0,0.976152777671814,0.18923487663269042,0.6410926536277488,0.0,0.8451204299926758
8,0.7225784301757813,0.37862769232855903,0.0,0.9973378777503967,0.6907931009928385,0.6058395385742188,0.0,0.994712233543396,0.7001340866088868,0.8119987205222801,0.0,0.9680211544036865,0.503529167175293,0.42087800767686634,0.0,0.9952955842018127,0.3954588254292806,0.5532996283637153,0.0,0.981380045413971,0.19872894287109374,0.6411085905852141,0.0,0.8754620552062988
9,0.7244049708048502,0.3797132703993056,0.0,0.9970688223838806,0.6905972798665364,0.6070219251844619,0.0,0.9940696954727173,0.7010749181111654,0.8099155002170139,0.0,0.965489387512207,0.5045374234517416,0.4222430759006076,0.0,0.9947705864906311,0.40155344009399413,0.5500484890407986,0.0,0.9797419309616089,0.1987087885538737,0.6395110518844039,0.0,0.8688388466835022
10,0.7256756464640299,0.3812154416684751,0.0,0.9968380928039551,0.6906533559163411,0.6057449340820312,0.0,0.993710994720459,0.7000057220458984,0.8063045925564236,0.0,0.9638463258743286,0.5029967308044434,0.4213116398564091,0.0,0.9945418238639832,0.4002447446187337,0.5525147049515335,0.0,0.9784613251686096,0.19852790832519532,0.6377600775824652,0.0,0.8599697947502136
