frame,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_shoulder_vis,l_hip_x,l_hip_y,l_hip_z,l_hip_vis,l_knee_x,l_knee_y,l_knee_z,l_knee_vis,l_ankle_x,l_ankle_y,l_ankle_z,l_ankle_vis,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_shoulder_vis,r_hip_x,r_hip_y,r_hip_z,r_hip_vis,r_knee_x,r_knee_y,r_knee_z,r_knee_vis,r_ankle_x,r_ankle_y,r_ankle_z,r_ankle_vis
0,0.7321963769122647,0.4719053021599265,0.0,0.9980276226997375,0.710968656021182,0.6230261948529412,0.0,0.998176097869873,0.7202871155040533,0.7463246065027573,0.0,0.9966742992401123,0.7873612407859898,0.8626815975413603,0.0,0.9786742925643921,0.6638753723399908,0.4652723245059743,0.0,0.8801398873329163,0.6662153938325379,0.6198770680147059,0.0,0.9869808554649353,0.6940914776534715,0.7393414665670955,0.0,0.9796198010444641,0.7675188774843096,0.8508188045726103,0.0,0.9374908208847046
1,0.7284777653267194,0.4733920108570772,0.0,0.9975340366363525,0.7008320317607545,0.6241670496323529,0.0,0.9974783062934875,0.7018168301761899,0.7441921817555147,0.0,0.9956211447715759,0.777372352248954,0.8554760024126838,0.0,0.9741957783699036,0.6731221985118658,0.4651192698759191,0.0,0.8434461355209351,0.6644700182032884,0.6198828843060662,0.0,0.98148512840271,0.6836924532966135,0.7371046357996324,0.0,0.9722266793251038,0.7587856787517978,0.8435831227022059,0.0,0.9231850504875183
2,0.7225980239932008,0.4750989846622243,0.0,0.9987258315086365,0.7020980643428021,0.6228899787454044,0.0,0.9984092116355896,0.6824487662215611,0.7472750315946691,0.0,0.9975329637527466,0.7753991162926582,0.8603428021599264,0.0,0.9830403923988342,0.6754382783897751,0.46556572409237135,0.0,0.884620189666748,0.6735172670755426,0.6191615205652573,0.0,0.9848875999450684,0.67270216682466,0.7415742043887867,0.0,0.9788733720779419,0.7587926377811193,0.8437495691636029,0.0,0.9399242997169495
3,0.7219482166497777,0.4751904296875,0.0,0.9987175464630127,0.7017995283693449,0.6229425407858455,0.0,0.9983904361724854,0.6824623012143698,0.7472221105238971,0.0,0.9975341558456421,0.7748975554270724,0.8598186178768382,0.0,0.9832772016525269,0.6754535371788376,0.46606186810661765,0.0,0.8791459202766418,0.6737198450575314,0.6194455135569853,0.0,0.984362006187439,0.6738721775709335,0.7422852280560662,0.0,0.9784335494041443,0.7591070071423902,0.8444688505284926,0.0,0.9397822022438049
4,0.7204388095743985,0.47499949735753677,0.0,0.9986257553100586,0.719818115234375,0.6220386460248162,0.0,0.9988104104995728,0.6520664103360355,0.7439731732536765,0.0,0.9978799819946289,0.7040949865365128,0.8638727883731617,0.0,0.9831300377845764,0.6671677593406773,0.4690571145450368,0.0,0.9704167246818542,0.6939171826989082,0.6187252987132353,0.0,0.9942924976348877,0.6896334213192992,0.7393731330422794,0.0,0.9902691841125488,0.7736708509373366,0.8518483599494485,0.0,0.9595103859901428
5,0.7205075698916383,0.4788715317670037,0.0,0.9991990923881531,0.7126626369843423,0.6222868795955883,0.0,0.9993380904197693,0.6311126453607152,0.7466452205882353,0.0,0.9987909197807312,0.6445848792167888,0.8705616670496323,0.0,0.9886416792869568,0.6757742271263729,0.46920061896829046,0.0,0.9781044125556946,0.6976009991378465,0.6158852969898897,0.0,0.9964313507080078,0.7098523383360029,0.7361317354090073,0.0,0.9937106370925903,0.7775212371698483,0.8511109834558823,0.0,0.9705552458763123
6,0.7229142448393371,0.4743506218405331,0.0,0.999100923538208,0.7154760001593554,0.6208678481158089,0.0,0.9993208646774292,0.6062851271369966,0.7446044921875,0.0,0.9983123540878296,0.5847302680235029,0.8666163545496324,0.0,0.9799148440361023,0.6591593850107871,0.46906260770909924,0.0,0.9892345666885376,0.6920247736336297,0.6157317756204044,0.0,0.9975813627243042,0.7121131290451752,0.7382603544347427,0.0,0.99400794506073,0.781551983565965,0.8573780732996323,0.0,0.9588252902030945
7,0.7260147158570868,0.4731633444393382,0.0,0.9991012811660767,0.7196667403855583,0.6220329015395221,0.0,0.9992768168449402,0.5994933060522358,0.7445477653952206,0.0,0.9980436563491821,0.5499884952561127,0.8605321547564339,0.0,0.9754005074501038,0.6570398179058251,0.46938551958869484,0.0,0.9882197380065918,0.6946503707055767,0.6172352510340073,0.0,0.9973172545433044,0.7229171816773993,0.741167782054228,0.0,0.9927835464477539,0.7854920710479864,0.8575027286305147,0.0,0.9482010006904602
8,0.7261364031037526,0.4731490909352022,0.0,0.9992897510528564,0.7126250965325902,0.626848575367647,0.0,0.9994595646858215,0.5804191812810539,0.7494885971966911,0.0,0.9984638690948486,0.5064359210026315,0.8608799115349265,0.0,0.9793800115585327,0.6568743334654484,0.4709290268841912,0.0,0.9889810085296631,0.690442264828223,0.6217914895450367,0.0,0.9978214502334595,0.725211618335676,0.7462477022058823,0.0,0.9939016103744507,0.7869392299253073,0.8596364458869485,0.0,0.9541049599647522
9,0.725929739086199,0.4734561695772059,0.0,0.9992935657501221,0.7127408462588258,0.6272463809742647,0.0,0.999460756778717,0.580711524356858,0.7495984604779412,0.0,0.9984622001647949,0.5066108224780989,0.860862606272978,0.0,0.9793166518211365,0.6569341555798902,0.47096148322610293,0.0,0.9891407489776611,0.6906485457799425,0.6220903463924632,0.0,0.9978366494178772,0.7253544380475287,0.7462030388327205,0.0,0.993924081325531,0.7873263179507715,0.8596087287454044,0.0,0.9541244506835938
