frame,shoulder_x,shoulder_y,shoulder_z,shoulder_vis,hip_x,hip_y,hip_z,hip_vis,knee_x,knee_y,knee_z,knee_vis,ankle_x,ankle_y,ankle_z,ankle_vis
0,0.4561631679534912,0.28509438832600914,0.0,0.9984196424484253,0.4880685329437256,0.5402396308051215,0.0,0.9976907968521118,0.42287249565124513,0.7234242757161459,0.0,0.9946860074996948,0.46689662933349607,0.9392233106825086,0.0,0.9626017212867737
1,0.4561474323272705,0.2770685195922852,0.0,0.9987138509750366,0.4851954936981201,0.53351804945204,0.0,0.9982196688652039,0.42336225509643555,0.7210672166612413,0.0,0.9957277774810791,0.4675317287445068,0.9388468424479167,0.0,0.9679197072982788
2,0.4584819793701172,0.2696310467190213,0.0,0.9988799691200256,0.4831749439239502,0.5242359585232205,0.0,0.9987096786499023,0.42651853561401365,0.7183501349555121,0.0,0.9970811009407043,0.4673370361328125,0.9362787882486979,0.0,0.9778165221214294
3,0.45799593925476073,0.26432261996799045,0.0,0.9989069700241089,0.48102626800537107,0.5174562242296007,0.0,0.9986602067947388,0.42673463821411134,0.7159327189127604,0.0,0.9969471096992493,0.4677288055419922,0.935292222764757,0.0,0.9766731858253479
4,0.4612749099731445,0.25297554863823785,0.0,0.9991065859794617,0.47896542549133303,0.5104139963785808,0.0,0.9986633062362671,0.4293807029724121,0.7134791904025608,0.0,0.9972074627876282,0.4692410469055176,0.9333971659342448,0.0,0.9772326350212097
5,0.46063761711120604,0.2500892639160156,0.0,0.9991921782493591,0.47674951553344724,0.5027297125922309,0.0,0.9986934065818787,0.43047032356262205,0.7113744099934896,0.0,0.9971453547477722,0.47005443572998046,0.9321826510959201,0.0,0.974959135055542
6,0.45603108406066895,0.24489775763617622,0.0,0.9989686012268066,0.47234764099121096,0.4937524159749349,0.0,0.9985779523849487,0.4313465118408203,0.7033854166666667,0.0,0.9966172575950623,0.4710665702819824,0.9320579528808594,0.0,0.9718413352966309
7,0.4549592971801758,0.24335954454210068,0.0,0.9989157915115356,0.46781015396118164,0.48473917643229164,0.0,0.9984531402587891,0.4334752559661865,0.699969736735026,0.0,0.9965946078300476,0.4712714195251465,0.9323477003309462,0.0,0.9724115133285522
8,0.4566539764404297,0.24097264607747396,0.0,0.9986609220504761,0.4663191318511963,0.4824753655327691,0.0,0.9981579184532166,0.43552508354187014,0.7008768717447916,0.0,0.9965707063674927,0.4713022708892822,0.9327633327907986,0.0,0.9759363532066345
9,0.45473194122314453,0.24133945041232638,0.0,0.998217761516571,0.46452646255493163,0.48169674343532987,0.0,0.9973973035812378,0.4375560760498047,0.7027750651041667,0.0,0.9968094229698181,0.4687978744506836,0.9314531114366319,0.0,0.9808809757232666
