frame,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_shoulder_vis,l_elbow_x,l_elbow_y,l_elbow_z,l_elbow_vis,l_wrist_x,l_wrist_y,l_wrist_z,l_wrist_vis,l_hip_x,l_hip_y,l_hip_z,l_hip_vis,l_knee_x,l_knee_y,l_knee_z,l_knee_vis,l_ankle_x,l_ankle_y,l_ankle_z,l_ankle_vis,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_shoulder_vis,r_elbow_x,r_elbow_y,r_elbow_z,r_elbow_vis,r_wrist_x,r_wrist_y,r_wrist_z,r_wrist_vis,r_hip_x,r_hip_y,r_hip_z,r_hip_vis,r_knee_x,r_knee_y,r_knee_z,r_knee_vis,r_ankle_x,r_ankle_y,r_ankle_z,r_ankle_vis
0,0.5169156881479117,0.3784678777058919,0.0,0.9965468049049377,0.5380356128399189,0.4618750254313151,0.0,0.9838778972625732,0.53271606640938,0.5396422068277995,0.0,0.9684422612190247,0.5063427167061048,0.5281254132588704,0.0,0.9981110095977783,0.5111028720171024,0.6377180099487305,0.0,0.9943726062774658,0.5157320071489383,0.7416531880696614,0.0,0.9702918529510498,0.44512533530210835,0.3813746134440104,0.0,0.9956715106964111,0.4304361098851913,0.464530881245931,0.0,0.9804702997207642,0.43217903528458035,0.5368032455444336,0.0,0.9649820327758789,0.45875754723182094,0.5289103190104166,0.0,0.9980013966560364,0.454595223451272,0.6365949630737304,0.0,0.9944175481796265,0.45841407775878906,0.739600944519043,0.0,0.9714431762695312
1,0.5180778503417969,0.37901598612467446,0.0,0.9964851140975952,0.5409861344557542,0.45975252787272136,0.0,0.982595682144165,0.5374585665189303,0.5374364217122396,0.0,0.9662150740623474,0.5073907803266476,0.5288959185282389,0.0,0.9983900785446167,0.5126302670209836,0.6378386815388998,0.0,0.9954556226730347,0.5146498068785056,0.7389546076456706,0.0,0.9770764708518982,0.44527528224847257,0.3829988479614258,0.0,0.9963957667350769,0.4285475902068309,0.4650008201599121,0.0,0.9838590025901794,0.42776005084698016,0.536622683207194,0.0,0.9693096280097961,0.45957252306815904,0.530202039082845,0.0,0.9984581470489502,0.4559168204283103,0.6378925959269206,0.0,0.9959339499473572,0.4585071465907953,0.7392545700073242,0.0,0.9793648719787598
2,0.519224362495618,0.38075644175211587,0.0,0.9964646100997925,0.5431414384108323,0.4616080284118652,0.0,0.9794197678565979,0.5427360045604217,0.5410144170125325,0.0,0.9547508358955383,0.5073339511186649,0.5308963775634765,0.0,0.998306393623352,0.511848645332532,0.6368055979410807,0.0,0.994907557964325,0.5155693934513972,0.7394636789957683,0.0,0.9754632115364075,0.4445689274714543,0.3859089851379395,0.0,0.9965231418609619,0.426236812884991,0.46832911173502606,0.0,0.9822287559509277,0.4168008168538411,0.5389829635620117,0.0,0.9608326554298401,0.45849066514235276,0.532110850016276,0.0,0.9984024167060852,0.45293128184783155,0.6341157913208008,0.0,0.9954735636711121,0.4596260755490034,0.7357797622680664,0.0,0.9779800176620483
3,0.5191137362749149,0.3806790669759115,0.0,0.9966300129890442,0.5431537628173828,0.4610439936319987,0.0,0.9806641340255737,0.5429583329420823,0.5390891393025716,0.0,0.9573076963424683,0.5073106716840695,0.5305551846822103,0.0,0.9984057545661926,0.5117677052815756,0.6364571253458658,0.0,0.9951756000518799,0.5155153519068009,0.7392877578735352,0.0,0.9763680696487427,0.4445919623741737,0.3858075777689616,0.0,0.9965786337852478,0.4261469229673728,0.46820360819498696,0.0,0.9825676083564758,0.4168246831649389,0.5389664332071941,0.0,0.9617999792098999,0.45856304657764924,0.5317728996276856,0.0,0.9984706044197083,0.4530543791942107,0.6337611516316731,0.0,0.9956387877464294,0.4596500885792268,0.7355670928955078,0.0,0.978565514087677
4,0.5189531766451322,0.38029041290283205,0.0,0.9972242116928101,0.5471616402650491,0.4563396453857422,0.0,0.9846226572990417,0.5551380744347205,0.5288532257080079,0.0,0.9654784798622131,0.5067427708552434,0.5299665451049804,0.0,0.9987439513206482,0.5108351585192558,0.6357918421427409,0.0,0.996062695980072,0.5148952190692608,0.7390295664469401,0.0,0.9792327284812927,0.44420076027894634,0.38660764694213867,0.0,0.9970188140869141,0.4223670959472656,0.46760164896647133,0.0,0.9849575757980347,0.4041123267931816,0.5346471150716146,0.0,0.9668287038803101,0.45827136895595455,0.5314339955647787,0.0,0.998754620552063,0.451503655849359,0.6325745900472005,0.0,0.996299684047699,0.45743130414913863,0.7347206115722656,0.0,0.980713427066803
5,0.5172201303335336,0.3809829076131185,0.0,0.9969050288200378,0.5501961830334786,0.4548411051432292,0.0,0.9847400784492493,0.5700076176570013,0.52282288869222,0.0,0.9709502458572388,0.5041625683124249,0.5298200607299804,0.0,0.9989563226699829,0.5100083962464944,0.6375263849894206,0.0,0.9973834156990051,0.5159092438526642,0.7380959192911783,0.0,0.9872491955757141,0.4439065884321164,0.3834051767985026,0.0,0.9975923895835876,0.41640340364896333,0.4602051734924316,0.0,0.9883458614349365,0.3945007079686874,0.5223729769388835,0.0,0.976302981376648,0.45703848814352965,0.5298720041910807,0.0,0.9990584254264832,0.45136344127165967,0.6346897761027018,0.0,0.9978266358375549,0.4544810270651793,0.7366538365681966,0.0,0.989161491394043
6,0.5170318896953876,0.38026568094889324,0.0,0.9966478943824768,0.5527410262670273,0.4476838747660319,0.0,0.9824466705322266,0.5797147506322616,0.5033588091532389,0.0,0.9672299027442932,0.5047859778771033,0.5295696894327799,0.0,0.9989581108093262,0.5108571174817208,0.6385252634684245,0.0,0.9974935054779053,0.5173946282802484,0.7406879425048828,0.0,0.9879633188247681,0.4441841810177534,0.38204914728800454,0.0,0.9979866743087769,0.4120375804412059,0.4557310104370117,0.0,0.9904522895812988,0.38509706350473255,0.5149216651916504,0.0,0.9794812202453613,0.4582695105136969,0.5294333140055338,0.0,0.9991758465766907,0.4534111512012971,0.6349021275838216,0.0,0.9981815814971924,0.45549847529484677,0.7389378865559896,0.0,0.9906468391418457
7,0.5174880883632562,0.377850596110026,0.0,0.9968987703323364,0.5581767742450421,0.442636235555013,0.0,0.9842074513435364,0.5894132271791116,0.4998180071512858,0.0,0.9689623117446899,0.5053314795860877,0.5270575841267904,0.0,0.9988903403282166,0.5105073879926633,0.6397639592488606,0.0,0.9972450733184814,0.516323236318735,0.7404972712198893,0.0,0.9860184192657471,0.44376402634840745,0.38064343134562173,0.0,0.9976188540458679,0.407043090233436,0.4513236045837402,0.0,0.9880561828613281,0.37189063047751403,0.5059032758076986,0.0,0.9754094481468201,0.45911647111941606,0.5275471051534016,0.0,0.9990060925483704,0.4551981901511168,0.63828550974528,0.0,0.9977396726608276,0.45708592732747394,0.7413785298665364,0.0,0.9882138967514038
8,0.5178814912453676,0.3750179608662923,0.0,0.9977620840072632,0.5607852935791016,0.43452908198038737,0.0,0.9879531860351562,0.5990196619278345,0.4891192436218262,0.0,0.9731513857841492,0.5039399953988882,0.525535519917806,0.0,0.9992067217826843,0.5087060683812851,0.6383898417154948,0.0,0.9975583553314209,0.5152686192439153,0.7412838617960612,0.0,0.985846221446991,0.44303292494553786,0.37677345275878904,0.0,0.9978585839271545,0.403905892983461,0.4401893615722656,0.0,0.9880935549736023,0.36402553167098606,0.49087645212809244,0.0,0.973912239074707,0.45761411617963743,0.5256426811218262,0.0,0.9991990923881531,0.45286364433092946,0.6356798807779948,0.0,0.9977577328681946,0.4562057592929938,0.7405745188395182,0.0,0.9871654510498047
9,0.5176781874436599,0.37460076014200844,0.0,0.9976860284805298,0.5601504888290014,0.4333252271016439,0.0,0.9875732064247131,0.5980703891851963,0.48709840774536134,0.0,0.9725396633148193,0.503989733182467,0.5252546310424805,0.0,0.9991713762283325,0.5086117279835236,0.6381585439046223,0.0,0.997425377368927,0.51519897656563,0.7405680974324544,0.0,0.9850637912750244,0.44307894584460134,0.376485284169515,0.0,0.9978467226028442,0.40386302654559797,0.43962491353352867,0.0,0.9881304502487183,0.3639427576309595,0.4907880465189616,0.0,0.9739742279052734,0.457768073448768,0.5254620552062989,0.0,0.9991750121116638,0.4527307657095102,0.6358423868815104,0.0,0.9976648092269897,0.4559024908603766,0.7406283060709635,0.0,0.9865496754646301
